,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_patience,param_n_inception,param_lr,param_epochs,param_dropout,param_dense_layers,param_conv1_kernel_size,param_batch_size,param_batch_norm,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC
0,49.654750776290896,1.977955107264732,0.10835390090942383,0.045492796321476875,32,30,1,0.0003,200,0.5,[128],21,128,True,"{'random_state': 32, 'patience': 30, 'n_inception': 1, 'lr': 0.0003, 'epochs': 200, 'dropout': 0.5, 'dense_layers': [128], 'conv1_kernel_size': 21, 'batch_size': 128, 'batch_norm': True}",0.9333333333333333,0.7555555555555555,0.4166666666666667,0.7222222222222222,0.6111111111111112,0.6877777777777778,0.17056188913321568,29
1,22.24736123085022,0.3026917848767373,0.07685313224792481,0.011428728979328652,32,30,1,0.0001,100,0.1,[64],13,256,True,"{'random_state': 32, 'patience': 30, 'n_inception': 1, 'lr': 0.0001, 'epochs': 100, 'dropout': 0.1, 'dense_layers': [64], 'conv1_kernel_size': 13, 'batch_size': 256, 'batch_norm': True}",1.0,0.8222222222222222,0.5833333333333334,0.6944444444444444,0.8055555555555556,0.781111111111111,0.13915973591080658,1
2,43.78421421051026,1.1402075999849464,0.09605188369750976,0.04008827127032675,32,30,2,0.0005,200,0.1,[128],13,64,False,"{'random_state': 32, 'patience': 30, 'n_inception': 2, 'lr': 0.0005, 'epochs': 200, 'dropout': 0.1, 'dense_layers': [128], 'conv1_kernel_size': 13, 'batch_size': 64, 'batch_norm': False}",0.8888888888888888,0.8666666666666667,0.4722222222222222,0.7222222222222222,0.7222222222222222,0.7344444444444445,0.14859008158581452,13
3,22.05059223175049,0.2931899217356219,0.07214145660400391,0.019067265655695352,32,30,2,0.0001,100,0.3,[128],13,256,False,"{'random_state': 32, 'patience': 30, 'n_inception': 2, 'lr': 0.0001, 'epochs': 100, 'dropout': 0.3, 'dense_layers': [128], 'conv1_kernel_size': 13, 'batch_size': 256, 'batch_norm': False}",0.9111111111111112,0.8444444444444446,0.5555555555555556,0.7222222222222222,0.7222222222222222,0.7511111111111112,0.12183777921664714,4
4,47.93641309738159,0.6695813229681176,0.08632450103759766,0.028293683638819178,32,30,2,0.0005,200,0.3,[64],23,256,True,"{'random_state': 32, 'patience': 30, 'n_inception': 2, 'lr': 0.0005, 'epochs': 200, 'dropout': 0.3, 'dense_layers': [64], 'conv1_kernel_size': 23, 'batch_size': 256, 'batch_norm': True}",0.8444444444444444,0.8,0.4722222222222222,0.6944444444444444,0.6388888888888888,0.69,0.13115818364022305,28
5,23.45300884246826,0.3312008901507625,0.1078277587890625,0.05733086000040923,32,30,1,0.0001,100,0.3,[64],23,64,False,"{'random_state': 32, 'patience': 30, 'n_inception': 1, 'lr': 0.0001, 'epochs': 100, 'dropout': 0.3, 'dense_layers': [64], 'conv1_kernel_size': 23, 'batch_size': 64, 'batch_norm': False}",0.8888888888888888,0.8,0.5555555555555556,0.75,0.5555555555555556,0.71,0.1337216567407145,26
6,42.74351773262024,0.3487745731614581,0.08824429512023926,0.034439423742897705,32,30,1,0.0001,200,0.3,[64],17,128,False,"{'random_state': 32, 'patience': 30, 'n_inception': 1, 'lr': 0.0001, 'epochs': 200, 'dropout': 0.3, 'dense_layers': [64], 'conv1_kernel_size': 17, 'batch_size': 128, 'batch_norm': False}",1.0,0.8444444444444446,0.5277777777777778,0.7222222222222222,0.5555555555555556,0.7300000000000001,0.17741629916632953,15
7,41.67738418579101,0.3571160366072378,0.0718155860900879,0.0160843871665911,32,30,1,0.0001,200,0.0,[64],15,256,True,"{'random_state': 32, 'patience': 30, 'n_inception': 1, 'lr': 0.0001, 'epochs': 200, 'dropout': 0.0, 'dense_layers': [64], 'conv1_kernel_size': 15, 'batch_size': 256, 'batch_norm': True}",0.7777777777777777,0.8222222222222222,0.5277777777777778,0.6944444444444444,0.6944444444444444,0.7033333333333334,0.10065219420127343,27
8,12.514492177963257,0.2994060601861788,0.08568286895751953,0.015758393809398006,32,30,2,0.0003,50,0.5,[64],17,64,True,"{'random_state': 32, 'patience': 30, 'n_inception': 2, 'lr': 0.0003, 'epochs': 50, 'dropout': 0.5, 'dense_layers': [64], 'conv1_kernel_size': 17, 'batch_size': 64, 'batch_norm': True}",1.0,0.8888888888888888,0.5277777777777778,0.7222222222222222,0.5555555555555556,0.7388888888888889,0.18392161508052052,11
9,24.410209941864014,0.34419801239906916,0.07105488777160644,0.01767502044856461,32,30,2,0.0001,100,0.0,[64],21,128,True,"{'random_state': 32, 'patience': 30, 'n_inception': 2, 'lr': 0.0001, 'epochs': 100, 'dropout': 0.0, 'dense_layers': [64], 'conv1_kernel_size': 21, 'batch_size': 128, 'batch_norm': True}",0.8888888888888888,0.8444444444444446,0.5277777777777778,0.75,0.5833333333333333,0.7188888888888888,0.1417962370428291,21
