,GSM246548,GSM246667,GSM246670
ITCH,-0.664848237143235,-0.701828892196605,-0.2458576196939233
LOC100127886,-0.4532879861975397,-0.6022237843834165,-0.20455519279500634
PLEKHA2,-0.4827790970839518,-0.12337810726031234,-0.12500241089804007
GRIA2,-0.3998227640878381,-0.3538129328693532,-0.24707853514350123
USP25,-0.3046946706060658,-0.3626443908592061,-0.4493496735739228
PPM1D,-0.4029573996025824,-0.25922012803618344,0.1351534226660487
CASP2,-0.18579246844263408,-0.04797858943672134,-0.12969923370832587
SLC16A2,-0.25321655670384696,-0.1902408902206533,0.07850549941386685
HIPK3,-0.3379960589231727,-0.5025461514850038,-0.015993223635236045
ARSB,-0.983163734071048,-0.7081718177929631,0.2353356496724795
MT1E,-0.20368668898919282,-0.19545012286197105,0.17972719717791563
MT1X,-0.2320776426420158,-0.1360829129815881,0.10275898060245785
MT2A,-0.2429483188621241,-0.3979283614369511,0.04576843314519645
MT1G,-0.01958679845225584,-0.3863436273044229,-0.06168580567090416
MT1HL1,-0.6938795786280728,-0.35279293524828337,-0.2933661150170481
MT1H,-0.4197481420978913,-0.34670547673502333,0.14374297794055874
MT1F,-0.18284887193619828,-0.3510828707557755,-0.2959703680366403
KLRC3,-0.5605581345075357,-0.5454693284681349,-0.28354729651303934
AXL,-0.42698333657385384,-0.3021089778251096,-0.19957350817797664
HNMT,-0.4047438713034222,-0.5870494705372667,-0.30200913614373115
VSIG4,-0.20385079881037346,-0.2713300396180226,-0.18252048688758923
PVRIG,-0.635808491770379,-0.5100903584565962,-0.11278523787997047
ABCG1,0.2785600011581218,-0.20671432868799203,-0.1718969706976865
FLT1,-0.24904528126448458,-0.27275200111956494,-0.10547503380260141
CCL8,-0.4968754686629356,-0.34345263556932154,-0.05663823799606943
GHR,-0.9211312967141309,0.10022594229052517,-0.24913874876441777
CCL2,-0.4927250804172311,-0.675920459701353,-0.22094418139274716
WWTR1,-0.287197421754991,-0.5405622339970826,-0.2145159700000902
PALMD,-0.2662393158719593,-0.5761618757863968,-0.16942287460461175
FMO3,-0.42380508649565235,-0.3229271954461867,-0.2810332842315251
