,GSM246528,GSM246538,GSM246553,GSM246563,GSM246628,GSM246633,GSM246641,GSM246668,GSM246669
ITCH,-0.2704694706403493,-0.3886729081851027,-0.4940949114741723,-0.38516814225428647,-0.4078764811309103,-0.39199695532630957,-0.9621695809980056,-0.5680871050904527,-0.37192804356198667
LOC100127886,-0.8759783102008369,-0.4339357209120467,-0.4792688869855508,-0.3250724612754127,-0.9080960703751524,-0.3217769471080245,-0.5939305808241746,-0.10252647717780616,-0.5352046251405723
PLEKHA2,0.06985102717341989,-0.5656569822423476,-0.40358796925806273,0.09055675534063559,-0.5227138790969686,-0.2333025096614125,-0.21493720873139885,-0.2700839468878784,-0.5847105583912519
GRIA2,-0.3106249206357584,-0.38148627591064355,-0.26963692251613863,-0.382846118808009,-0.40256853684188626,-0.353430926542569,-0.38472409227131626,-0.5274849402190055,-0.27050407030376666
USP25,-0.5777496759297518,-0.9375283700263828,-0.2263930942389899,-0.5190568202994007,-0.5991005947586547,-0.5042452104463314,-0.10901228769225021,-0.7582793917769588,-0.28008378916003446
PPM1D,0.4653508871121361,-0.15671091096114811,-0.6834153013781878,0.501958110101846,-0.5743064288594927,-0.33777558887267645,-0.44279914492452604,-0.13306072847208045,0.20502747340660296
CASP2,0.3582396169270337,-0.4503418901463013,-0.15910730403391019,-0.24479417092869654,-0.7802754905328839,-0.27034815014651714,-0.33725991232168534,-0.21934728804392478,-0.2368303921286452
SLC16A2,0.4157494023306183,0.020551309250493786,-0.08108632324389024,0.04119447865307191,-0.11182652653472656,-0.250436376247794,-0.8318802348799768,-0.5743150296377476,-0.33795804763027115
HIPK3,0.12641880378435047,-0.3685035149953156,-0.28322745476246236,-0.07875053740154211,-0.5940697863541319,-0.2692606688366252,-0.38574929499155486,-0.4385977491533442,0.16152462593080597
ARSB,-0.3436368908014839,-0.11233255326328542,-0.33360348794998695,-0.5661900847860539,-0.5152284600516764,-0.5603847543179387,-0.40987091103310136,-0.5079977262733568,-0.9826148573582616
MT1E,0.103277252198403,-0.37940049946611687,-0.3036279263416006,-0.21244711206631467,-0.11947793445373973,-0.31860009500431535,-0.025060331001654,-0.48452622851754945,0.1569528696697843
MT1X,0.8257742824405754,-0.18678206772358877,-0.020331392428256413,-0.11437205866730182,-0.057013290714826304,-0.2847358633215251,-0.7265739585643429,-0.6336995284109194,-0.40170571176211334
MT2A,0.02973509966517717,-0.17744980787284692,-0.1795418704425443,-0.304505349339707,-0.428823416892925,-0.40443614106204,-0.16551965998021262,-0.29497012916134,-0.26623824922105127
MT1G,-0.5851915543554878,-0.5390884647544695,-0.29142497054218264,-0.3469583146093524,-0.7837320096100758,-0.42790537066369866,-0.1972951108484855,-0.5269494309735275,-0.5986982618380936
MT1HL1,0.0157690853715293,-0.054048366056456194,-0.07058757630988978,0.022296531173336475,0.2880659494163305,-0.2946798298428353,-0.05943309812819461,-0.2784650382595708,-0.03251135522336666
MT1H,-0.21695027902374509,-0.04128545965857106,-0.26597798175173404,-0.18474407715649682,-0.5140218856291988,-0.3493861896538195,-0.7772901081162632,-0.44548182334186365,-0.2755595063769869
MT1F,-0.3609224277182512,-0.40677255133757995,-0.16563823552087528,-0.3288891917466025,-0.36217370267975846,-0.3348038721108734,-0.5421207707156619,-0.43778911756651057,-0.5549567362092307
KLRC3,-0.5189145574906124,-0.35585574695188404,-0.2768341422607363,-0.373253670242005,-0.5175380399050171,-0.3993194633576565,-0.5576204295045042,-0.4600478650271488,-0.5013059017173618
AXL,-0.24866318312597405,-0.3267649007591019,-0.22235812874793415,-0.4355264676868844,-0.38838983999292476,-0.17658462593611818,-0.5061064377882275,-0.4455032440185323,0.36424743834686435
HNMT,-0.3345069164129463,-0.2763456112495001,-0.3343596793858516,-0.15258373727041327,0.13574792709500685,-0.12739616675080334,-0.002167575311934225,-0.44864137230681533,-0.32816256188984744
VSIG4,-0.3545385485247049,-0.3501881097528411,-0.27177925374244316,-0.17977068010531358,-0.6764292432813941,-0.47501661813241525,-0.07337285044306535,-0.40528578154212996,0.07518064597908897
PVRIG,-0.22464180917879328,-0.3451652496056358,-0.3057323655008252,-0.7184480171557243,0.36653551167221704,0.027584375320973995,-0.46519672019393793,-0.4716176668551663,0.044800356410141746
ABCG1,-0.37031726050128383,-0.3381575637647755,-0.2936865457434669,-0.3240061207961216,0.7187542872839523,-0.166824907544718,-0.5982141332625613,-0.4768737389438135,-0.2119728875654158
FLT1,-0.15929428437902046,-0.3440844968107895,-0.15990701031180143,0.3118229593223485,0.05997033740347893,0.0437204210462007,-0.37577369771370683,-0.45685619142848205,0.6443339091602239
CCL8,0.012031356225328237,-0.21263332198658977,-0.2915526401343278,0.6699194198000915,-0.22683271401172175,-0.516253233255822,-0.32585419415842465,-0.44188850366086335,-1.2905891826012084
GHR,-0.5116522472199617,-0.20914549474384242,-0.21949324547761373,-0.0676537031836975,-0.07233171304799889,-0.046792411555041366,-0.7761387081075106,-0.45274878334640295,0.1848410651190992
CCL2,-0.13754264393701837,-0.2476377300440638,-0.12025127107667696,-0.06453116394156656,0.25925887297016287,0.09415354852956906,-0.38021189298012525,-0.4351784684539736,-0.20144703514765763
WWTR1,-1.1449864834963153,-0.4512000582392198,-0.2936865457434669,0.17516867478689488,-0.6134809783588426,-0.2406190973680306,-1.1154951735332816,-0.45750148799710505,1.1535604643523303
PALMD,0.20038585192912908,-0.14275951506577084,-0.20993754508560286,-0.9583962854259473,1.688092297927871,0.8103998372437783,0.2517200638967053,-0.4498998362392312,1.171442447963578
FMO3,-0.08666346114794972,-0.371977518095329,-0.2478978992114551,-0.38117110508031354,-0.10532735693577991,-0.3103847984154102,-0.13096226462133503,-0.42769192344639684,-0.380843799327438
ADIRF,-0.34641443535114874,-0.35818016563258637,-0.22576175420069955,0.5281500279720377,0.38312077127783817,-0.3208203870779139,-0.6139095923393851,-0.4336816957555697,-0.0625145387710297
ABCA8,-1.1522558381439862,-0.584440070739616,-0.25284758503356136,2.7319733918569207,1.1444278032995296,0.016766567582973922,-0.2918002061972035,-0.4237237292964706,-0.05756578157732328
SELE,0.6339242028919896,0.025074119236275658,-0.2902254374445365,2.0625386349290906,-0.09970596054054581,-0.14823107903708652,0.8643985229813668,-0.4877500174094029,-0.21641892712519734
CYP1B1,3.3629684002372477,-0.3859653014910562,-0.20730975987651437,3.066602821576774,0.41639494247925696,-0.14767031483156035,-0.291993930099889,-0.4337807665912927,0.4758364723239663
C8orf4,-0.047455906059984086,-0.061070022694697745,-0.15086611415042536,2.44497402427236,-0.3344583230976516,0.2797105456549166,0.3043617750878125,-0.5234043584737076,-0.03693370208952269
C7,1.590490814461285,0.028825919063305516,0.277988854941481,1.234837821518413,1.2284063936346172,0.11083826537135787,1.3832679539002999,-0.4777332388097153,0.31996190730352364
PDGFRB,1.9541800349060068,-0.23448040113807891,0.18644315103185471,2.342809024562494,-0.5491523075297882,-0.04579558888530513,1.7629733030363182,-0.4087291785764025,-0.5259972452337788
