,GSM246548,GSM246667,GSM246670
ITCH,-0.5796215819435729,-0.012424851020842812,-0.40709506109150473
LOC100127886,-0.21220048309347853,-0.3549563472863606,-0.3964466685438101
PLEKHA2,-0.09582331585581445,-0.024533268832136433,-0.3569569366762708
GRIA2,-0.4336218843060178,-0.3247406520479619,-0.428582697484499
USP25,-0.3687124961340405,-0.47368710951149945,-0.36518535953882086
PPM1D,-0.5272410768140402,0.17483859815835107,-0.1302813913743638
CASP2,-0.20621516887121638,-0.11543031175150475,-0.461402523747267
SLC16A2,-0.3627034114584526,0.029098750439283123,-0.09699271329351371
HIPK3,-0.4354908734190761,0.2876743451363311,-0.48424554182694546
ARSB,-0.2150898345919259,-0.31927982391457616,-0.19231600629460968
MT1E,-0.3803381046734114,0.23285532346647408,0.019602934729694148
MT1X,-0.45145991275849595,0.083258543322948,-0.40078678702146764
MT2A,-0.35592193134231187,-0.22307725130812803,-0.3826722649325904
MT1G,-0.41239390069608167,-0.585336901991275,-0.5773870545018763
MT1HL1,-0.23288364907161116,-0.28762013469791475,-0.32906729068060314
MT1H,-0.37696405690261825,0.04589093094137276,-0.30351379772393583
MT1F,-0.3275102423631448,2.809340059131768,-0.32425189761883394
KLRC3,-0.5798011682657178,3.2972806051812493,-0.3327262176183143
AXL,-0.2863507747872395,-0.2929812014743689,-0.4815137786542106
HNMT,-0.31394247579451223,1.9182136798335485,-0.45223617461917404
VSIG4,-0.46298373713752006,1.1820818355230247,-0.34092308469719984
PVRIG,-0.4486182896963271,0.20112963275945045,-0.41179364270321056
ABCG1,-0.3952249083768147,0.41064720065727073,-0.4027480800103162
FLT1,-0.4292974620918136,-1.1329201652785497,-0.42863900886017653
CCL8,-0.407727776633236,-0.1095835228997755,-0.43360402193954345
GHR,-0.44217377880795383,-0.17858976013337083,-0.4293065046392427
CCL2,-0.3979600607873892,-0.3073421362336539,-0.425059801803238
WWTR1,-0.4710953847975849,0.4282770393246924,-0.38456077068258576
PALMD,-0.5324904201823402,-1.6382186164364883,-0.4577175817012317
FMO3,-0.4196092256350002,-0.6140113237463342,-0.23322566618573518
