,GSM246528,GSM246538,GSM246553,GSM246563,GSM246628,GSM246633,GSM246641,GSM246668,GSM246669
ITCH,-0.24448757964928836,-0.3054099730292345,-0.20022903137540943,-0.5150199623979584,-0.5718180495571652,-0.3722235763070964,-0.31152207490560613,-0.2465875436432078,-0.17317649387836193
LOC100127886,-0.20718225625552444,-0.5371468957503898,-0.3132298017574035,-0.4987578329944741,-0.048609192130034555,-0.23464016030027923,-0.24975842095170236,-0.36305854646389374,0.13713226842737597
PLEKHA2,-0.45532256807032967,-0.3587969257571249,-0.5760895673521147,-0.5101599938099861,-0.17044983108601677,-0.37868147845405137,-0.14032813080493262,-0.3301668544550439,-0.5731246740544604
GRIA2,-0.37737195489264613,-0.4648879496214627,-0.17916424035619635,-0.47776761363216563,-0.4872757522789647,-0.3211118501880592,-0.38269625027984694,-0.3242108177561845,-0.24232000192066652
USP25,-0.3679760713821702,-0.5589179089939935,-0.0341071280997089,-0.5367054944853701,-0.21758054079184672,-0.20337512210328546,-0.44554366081472835,-0.5417491295197849,-0.12043711874227103
PPM1D,0.5752768215239592,-0.2524030915152033,0.2903693534784546,-0.41115614206715456,-0.2441418868103759,-0.1839366141154424,0.05565444323948636,-0.6737459209491681,-0.2950560481844397
CASP2,-0.4364960689080795,0.06109855712255237,0.12331722514228498,-0.36642859834246827,0.6099008532800256,-0.3931107220631298,-0.033342876449499514,-0.2584903335149188,-0.3488913499781711
SLC16A2,-0.41422971399654823,0.043627722684351916,0.012673550824756727,-0.4241325485349503,-0.042270530536594346,-0.4737673056517702,-0.1262139549710882,-0.33842141873763476,-0.06803470143709649
HIPK3,-0.19422176945606764,-0.8225224240488995,-0.25036870185073373,-0.24090356673371338,-1.2101264877143927,-0.41166850992125964,-0.6778981338770027,-0.3465799112989148,-0.525063963972252
ARSB,-0.9242056235584513,-0.3802758143623592,-0.05621828937001532,-0.36832484876080224,-0.5259801979574583,-0.16470397147059462,-0.3350382712805927,0.19093414722003513,-0.45513870216663893
MT1E,0.5096062702673125,-0.34860828484449813,-0.04189708511771016,-0.3181768116247541,0.3149457424501239,-0.2878910423545255,-0.49948942069961466,-0.3666410586123431,-0.19829639347950168
MT1X,-0.3866798667212361,-0.45388217490492083,-0.2261571670629273,-0.5955321307381185,-0.21003171892251637,-0.19546512326749016,-0.6745209467288257,-0.4842095398271485,-0.6432036304673129
MT2A,-0.016583951609501293,-0.08823858316030378,-0.1757174156698275,-0.5096404714536678,0.7138874278278666,-0.326962858399082,-0.2636263366697897,0.13386165516157716,-0.2789038167532692
MT1G,-0.9557055275924193,-0.07678534298773639,-0.034670234066612425,-0.5596201808596717,0.4304901455860288,-0.41778221820061506,-0.5876819779336991,-0.675165760895806,-0.7928622973621112
MT1HL1,-0.09708008799721365,-0.3249158067910184,-0.11512809238317827,-0.41689952862914725,-0.1997750219494283,-0.17423348282991666,-0.6715728630370934,0.04375587191100396,-0.6158394717516261
MT1H,-0.33770468464369874,-0.34830831467950063,-0.161195545636783,-0.44573406042021374,0.46860173076572537,-0.3192204129008168,-0.26112333628199397,-0.3489674757865265,-0.18873002447422038
MT1F,0.17589700805596198,-0.07179701506130612,-0.177965937862773,-0.4675542284376044,1.0353957684370974,-0.1143504842862079,-0.2725513090203587,-0.3609966683859712,-0.09502275095777646
KLRC3,-0.11690945789085291,-0.3471963562739053,-0.19461552142526506,-0.4869098301774456,-0.5101261090074526,-0.5678245433119069,-0.4292670075128524,-0.3741106743291657,-0.2666972170224823
AXL,-0.4572889673935177,-0.3850986069809441,-0.43445869427584066,-0.5017132907548277,-0.3199282952330159,-0.5504439177963443,-0.3908383258093328,-0.3991600883932008,-0.4051116703827075
HNMT,-0.13779257961369934,-0.3619750571725068,-0.138277756382869,-0.4276860451674404,-0.2291256957914374,-0.3226529642093598,-0.7624016584501196,-0.3301762266579427,-0.2517980312612453
VSIG4,0.2619366335090271,-0.24263335103509023,-0.38472444009601664,-0.4577878305194383,1.3912861159680763,0.2024071938316057,-0.19794835036417693,-0.06951078669196985,-0.350569715379296
PVRIG,-0.4148326469820213,-0.3679770443734043,-0.1120008120517422,-0.49805047257487317,0.8143587701999941,0.49165658271525536,-0.21434778932760537,-0.6162211471931565,-0.19055888917208183
ABCG1,-0.15501036728572015,-0.13023463383957087,-0.33824211992094105,-0.5126173219541471,1.3848286257458269,0.6824390906686362,-0.5057912983771435,-0.426325194546604,-0.42632187825676077
FLT1,-0.36352828138686266,-0.30549530945319037,-0.2831612301482902,-0.5366317868951375,-0.9745570779171617,-0.7275755696973264,-0.7522899603148102,-0.3896005027251773,-0.3744594286671683
CCL8,-0.09004450425057864,-0.2580482317225882,-0.32787439146529135,-0.5376969803335764,0.6576523481066275,-0.853721167555926,0.11207644048568878,-0.40007387183533827,-0.7531967501851843
GHR,0.1587228610252504,-0.2633597830582756,-0.2660596266563629,-0.46078848843381626,-0.6301728767896095,-0.13790083930373703,-0.218401579315442,-0.3668613045764372,-0.9917754482882192
CCL2,-0.20325672532627714,-0.3418460257190495,-0.19191300886500254,-0.48027013358147314,-0.1970575707418159,-0.5337423933886054,-0.22990008803476508,-0.39453259401758445,-0.32327746210217134
WWTR1,-0.4084386239204699,-0.2932921989796616,-0.17923633335037117,-0.5426912604157693,-0.7260402963970048,0.42947054668752965,-0.3114775553425568,-0.4468102694410373,-1.3147815974181543
PALMD,0.03975607538080934,-0.4061921768533795,-0.23230844871976616,-0.5028842982804778,-0.1302738821583806,1.1547390403645146,-0.40434619336230937,-0.35620982935184725,-1.0439026163689968
FMO3,-0.2912785487347987,-0.3906506362068858,-0.1786264655839713,-0.36061976662733225,-0.37209417324343963,-0.09756543354753094,-0.435906529721374,-0.1982428582408629,-0.6292107443039339
ADIRF,0.061698721423341416,-0.42087259219348916,-0.11257755660837669,-0.3710984852478253,-0.06322482531500366,-0.23837696351021243,-0.4851481831199853,-0.3606592701163983,-0.6857319169677356
ABCA8,0.6448550628469998,-0.3676770743270476,-0.24289247075647152,-0.25149904465061085,0.21564044749915262,0.8502346532069062,-0.8063528700456414,-0.33124465772693173,-0.8808534128777543
SELE,-0.2766944131336559,-0.5577361355177378,-0.003372056211710243,-0.19042494145413746,-0.13344478954373884,0.9043721783208504,-0.6867745290842303,-0.4539049419141702,-0.5093272668434407
CYP1B1,1.926175045957728,-0.4793097513433635,0.16502809660917842,-0.36162198673509427,0.0340874213954353,1.1972005673520167,0.14387091196618104,-0.43846910251326804,-0.27825929783397246
C8orf4,3.0856915070198285,-0.47383789741799737,-0.17684167678518742,-0.5215442964755328,-0.3148846092037509,1.7642591835788928,-1.0778714005579806,-0.44878778103285927,-0.7642451311020703
C7,1.238278496716931,-0.4435435710617105,-0.2718991515749456,-0.5196350261102762,0.6511409159625977,0.9595579243465602,-0.25702627953306195,-0.5698932208961704,-0.5197082525151452
PDGFRB,2.319689965887903,-0.36257499734372056,-0.8640500499424996,-0.34613808005339797,-0.3479184037733825,-0.9080972877764583,0.7269254142506275,-0.2527123274450835,0.08022465193138827
FCN3,0.14399170601350764,-0.3962026647368037,0.09825018664584817,-0.6483451083146595,-0.8058840634502547,-0.1115447824962378,-1.1523519209316069,-0.07316838334770896,-0.0826231023729534
PRSS23,3.5114023589659324,-0.014848837607872546,-0.23220128353864536,0.07054583676058133,-0.5312904355198235,-0.3148997606338007,0.2573406918816785,-0.20859693034857377,-0.13563077251958966
ALDH1A3,0.35848000659444457,-0.47876411753999953,0.15436607285717013,0.30018002358983553,-0.6061364658191192,-0.2835396496373794,-0.11134786018082038,-0.33740687856204515,-0.8959880741479903
COL4A2,1.3472361170537814,-0.5017608953891983,0.10937203985603211,0.8016155845039219,-0.45619971673222454,-0.3177730252810486,1.193659051231651,-0.4940220805712374,0.13238178671990025
