,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
MRPL24,98,98,cluster_02,#08ff00,11.614176479164682,11.614210714165525
DUSP11,99,97,cluster_03,#00fff6,11.249470296634524,11.24950903460918
TMEM185B,103,96,cluster_03,#00fff6,9.12726364319026,9.127234098624283
DCLRE1A,102,97,cluster_03,#00fff6,8.24200382575247,8.2419802905443
CTNNBL1,101,99,cluster_03,#00fff6,7.886166114202673,7.886222917485317
ANGEL1,108,13,cluster_03,#00fff6,7.6889645373021915,7.689044541967603
ARMC6,100,9,cluster_02,#08ff00,7.555269442881553,7.555265055145933
TIMM9,104,6,cluster_04,#0010ff,7.17989083039105,7.17984934663465
ELP5,106,95,cluster_03,#00fff6,6.710780009606893,6.710733763945942
TRIP6,105,6,cluster_02,#08ff00,6.506255121204058,6.506131307348733
CCNI,102,93,cluster_03,#00fff6,6.28840894164108,6.288364332184665
IGBP1,105,3,cluster_04,#0010ff,6.168783018075656,6.168724718133223
EIF3L,110,9,cluster_04,#0010ff,6.161676983732916,6.161747696234902
TMEM14A,100,94,cluster_03,#00fff6,6.155961818441575,6.155958840806387
MAPKAPK5,110,96,cluster_02,#08ff00,6.0926845750499385,6.092703809011061
KRAS,99,96,cluster_03,#00fff6,6.048610865144117,6.048608629664332
H2AFZ,102,101,cluster_02,#08ff00,5.9643416750642455,5.964350954872631
NDUFB1,106,19,cluster_03,#00fff6,5.958987480870073,5.959103840965433
RPL11,110,18,cluster_03,#00fff6,5.928779987616212,5.928827540199079
ZNF432,65,33,cluster_04,#0010ff,5.915155087856437,5.915216358765696
ZNF16,100,4,cluster_05,#ee00ff,5.818201100099507,5.818214720576518
PLP2,88,93,cluster_03,#00fff6,5.804173552951786,5.804212401213328
DPH5,105,9,cluster_04,#0010ff,5.774592166752086,5.77458533356815
GPN1,100,88,cluster_03,#00fff6,5.771135992666514,5.771161906252095
GADD45GIP1,107,15,cluster_03,#00fff6,5.747901435478867,5.747907344525959
LAMTOR3,104,100,cluster_02,#08ff00,5.713681915686684,5.71373292815059
MICAL1,63,27,cluster_04,#0010ff,5.69467124888849,5.694825819299681
NDUFB7,104,9,cluster_03,#00fff6,5.666452370241909,5.666481065351321
LAMTOR2,99,101,cluster_02,#08ff00,5.629741641304633,5.629658387994139
