,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
ITCH,0,0,cluster_04,#0010ff,-0.4539359601577667,-0.45390424068537844
LOC100127886,1,0,cluster_01,#fcf500,-0.4696423446346396,-0.46969283945913803
PLEKHA2,2,0,cluster_05,#ee00ff,-0.5202165993681537,-0.5202312080376515
GRIA2,3,0,cluster_01,#fcf500,-0.8299811672021016,-0.8299149155211781
USP25,4,0,cluster_01,#fcf500,-0.5611130966373312,-0.5611270332330267
PPM1D,5,0,cluster_01,#fcf500,-0.11749061863172261,-0.11750089937267033
CASP2,6,0,cluster_01,#fcf500,-0.6029168259700707,-0.6029391373465284
SLC16A2,7,0,cluster_01,#fcf500,-0.6022222712445748,-0.6021209726932423
HIPK3,8,0,cluster_01,#fcf500,-0.2403400469177451,-0.2403057849246147
ARSB,9,0,cluster_01,#fcf500,-0.20521843988248037,-0.20528106941265903
MT1E,10,0,cluster_01,#fcf500,-0.6618728715572381,-0.6618461097545526
MT1X,11,0,cluster_01,#fcf500,-0.761322003844606,-0.7614397636284924
MT2A,12,0,cluster_01,#fcf500,-0.5300691493597816,-0.5300963942347195
MT1G,13,0,cluster_01,#fcf500,-0.6503566735348103,-0.6503067860705858
MT1HL1,14,0,cluster_01,#fcf500,-0.5340989781030098,-0.5341475844475063
MT1H,15,0,cluster_01,#fcf500,-0.5866409887697324,-0.5866399326676088
MT1F,16,0,cluster_01,#fcf500,-0.4808578267937438,-0.4807091312119555
KLRC3,17,0,cluster_01,#fcf500,-0.46330315417598106,-0.46341379479664535
AXL,18,0,cluster_01,#fcf500,-0.4834923400121662,-0.48344829136320316
HNMT,19,0,cluster_01,#fcf500,-0.6160562348149795,-0.6160710567839853
VSIG4,20,0,cluster_01,#fcf500,0.08316202613859376,0.08325189894566123
PVRIG,21,0,cluster_02,#08ff00,-0.23201877926425132,-0.23200518547250715
ABCG1,22,0,cluster_01,#fcf500,0.18467715920474267,0.18472496337981756
FLT1,23,0,cluster_01,#fcf500,0.12763373338082787,0.12774805216358723
CCL8,24,0,cluster_01,#fcf500,-0.021284337322140606,-0.021245579520683188
GHR,25,0,cluster_01,#fcf500,-0.16007437897396834,-0.16013627465201644
CCL2,26,0,cluster_01,#fcf500,-0.13897506067764975,-0.1389698849656153
WWTR1,27,0,cluster_01,#fcf500,0.08193665289522442,0.081862954309699
PALMD,28,0,cluster_01,#fcf500,0.39502436579856387,0.39496442719033653
FMO3,29,0,cluster_01,#fcf500,0.2068250037394694,0.20670449787933676
ADIRF,30,0,cluster_01,#fcf500,-0.03075014723286451,-0.030677009770561682
ABCA8,31,0,cluster_02,#08ff00,0.5622416236382447,0.5622095668164526
SELE,32,0,cluster_01,#fcf500,0.5717966426898844,0.571838876090171
CYP1B1,33,0,cluster_01,#fcf500,0.10780477771182502,0.10770386260179853
C8orf4,34,0,cluster_01,#fcf500,0.7204370186305857,0.7203517634386761
C7,35,0,cluster_01,#fcf500,0.6874352388099099,0.687407758831698
PDGFRB,36,0,cluster_01,#fcf500,0.6898356407769121,0.6898265931167077
FCN3,37,0,cluster_01,#fcf500,0.815631306040997,0.8155460460922296
PRSS23,38,0,cluster_01,#fcf500,0.6036872435329307,0.6035417051503417
ALDH1A3,39,0,cluster_01,#fcf500,1.644328167039329,1.6442037045309428
COL4A2,40,0,cluster_01,#fcf500,1.1020219675778873,1.1019482648813106
COL4A1,41,0,cluster_01,#fcf500,0.9048816081713845,0.9048615300986163
VWF,42,0,cluster_01,#fcf500,1.4676540062047738,1.467466667561764
FN1,43,0,cluster_01,#fcf500,0.1930348327048866,0.1930047028822652
CDH5,44,0,cluster_01,#fcf500,1.0822201659952717,1.082211487042136
PODXL,45,0,cluster_01,#fcf500,0.71564820701579,0.715649292020652
APOLD1,46,0,cluster_03,#00fff6,1.5284190248939125,1.5283828832520099
COL6A3,47,0,cluster_01,#fcf500,0.67158059250874,0.6715189491098502
CRIP2,48,0,cluster_01,#fcf500,-0.2932032001721811,-0.2933229800351238
RFTN1,49,0,cluster_01,#fcf500,0.2794890084848622,0.2795244786520756
A2M,50,0,cluster_01,#fcf500,0.3007960489820408,0.30075005028778073
COL6A2,51,0,cluster_01,#fcf500,0.5798214643670331,0.5798026857737232
GIMAP6,52,0,cluster_01,#fcf500,0.21875445647522856,0.21864021123716496
IQCG,53,0,cluster_05,#ee00ff,0.05005936275808458,0.05002844002776723
HLA-DRA,54,0,cluster_05,#ee00ff,-0.0329085648787023,-0.03277355619457266
HLA-DPB1,55,0,cluster_05,#ee00ff,0.02076614592707698,0.02076569394806089
GAGE3,56,0,cluster_02,#08ff00,-0.6313362052138008,-0.6313514920810573
MAGEA12,57,0,cluster_02,#08ff00,-0.6815086154652331,-0.6814328999361697
CTAG2,58,0,cluster_02,#08ff00,-0.6596890878259786,-0.6596416920659548
