,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
MRM1,88,53,cluster_05,#00fff6,13.170760381214864,13.170580379655027
UBE3C,97,56,cluster_06,#0074ff,12.466292950690207,12.466242811721227
MED28,100,58,cluster_07,#2500ff,11.244587905044328,11.244515302429033
GLT8D1,97,61,cluster_07,#2500ff,10.476942555111442,10.476807697338822
MAPKAP1,104,54,cluster_06,#0074ff,9.642678961602991,9.642705312527783
B4GALT4,92,57,cluster_07,#2500ff,9.558852144798584,9.55878898583069
SLAMF7,89,55,cluster_07,#2500ff,9.087760306778764,9.08776668879172
SLC35A5,98,59,cluster_06,#0074ff,8.778832451679579,8.778898625384594
FAIM,95,50,cluster_06,#0074ff,8.288032584559375,8.28801095456876
FAM168B,98,61,cluster_07,#2500ff,8.18889566664617,8.188856419531554
RPP14,104,60,cluster_03,#3dff00,8.076561945944437,8.07650806570458
MRPS34,101,62,cluster_05,#00fff6,8.066120193964409,8.066054754662922
CMTM6,91,54,cluster_07,#2500ff,8.063811427285206,8.063668570584731
GPKOW,101,65,cluster_09,#ff00ac,7.828612986118522,7.828429818584731
YIPF3,92,60,cluster_07,#2500ff,7.711831940488933,7.711926238975566
MEX3C,93,56,cluster_06,#0074ff,7.609670524763197,7.609504149371498
IMP4,111,53,cluster_06,#0074ff,7.439665249197715,7.439654091724164
RABAC1,93,59,cluster_07,#2500ff,7.38849458624534,7.3885532856530824
TMEM186,97,58,cluster_07,#2500ff,7.356033640864941,7.355880807176567
ZDHHC4,103,65,cluster_03,#3dff00,7.150299500156048,7.150292850848881
RNF113A,102,55,cluster_06,#0074ff,7.06297759811928,7.0632217891210995
SPR,95,60,cluster_05,#00fff6,6.924458193410309,6.924516793479464
GTF2H4,91,56,cluster_05,#00fff6,6.827717204106986,6.827679425771095
ZNF211,67,11,cluster_09,#ff00ac,6.793185949011973,6.793178197000782
LIPT1,80,86,cluster_08,#b900ff,6.729778685788825,6.729664239102651
PSMD8,103,62,cluster_03,#3dff00,6.686221546460898,6.68624238700954
OSGEPL1,100,60,cluster_07,#2500ff,6.541078297763572,6.541138177721198
ZNF16,100,4,cluster_09,#ff00ac,6.318392366988452,6.318420337221836
LAMC1,93,53,cluster_03,#3dff00,6.302933490334499,6.302948946801357
SDHA,106,46,cluster_06,#0074ff,6.267742902081131,6.267634106293294
BAD,104,55,cluster_06,#0074ff,6.256858324224582,6.2566967038783945
MPG,91,66,cluster_05,#00fff6,6.130856835669652,6.130772612214315
CUL1,98,58,cluster_06,#0074ff,6.043234585856282,6.0431845561927915
ZFP69B,95,57,cluster_02,#d1ff00,5.999994531421797,6.000041554132763
MRPS12,107,50,cluster_06,#0074ff,5.980849696848295,5.980763499014119
BET1,99,59,cluster_07,#2500ff,5.978350344482218,5.978235878344128
PRAF2,96,57,cluster_07,#2500ff,5.960307466061642,5.960144210094235
MGAT2,95,58,cluster_07,#2500ff,5.932255298704362,5.932321200878258
ARMC6,100,9,cluster_03,#3dff00,5.9065621630308796,5.906656543081103
BAX,107,58,cluster_07,#2500ff,5.859894492992736,5.859884570828847
MCRS1,103,58,cluster_07,#2500ff,5.848801059038546,5.848773578756617
SHFM1,105,55,cluster_06,#0074ff,5.770082905010328,5.770019392841427
URI1,106,52,cluster_06,#0074ff,5.700727176742916,5.700757311677351
ATG101,83,79,cluster_09,#ff00ac,5.690000245203823,5.689971876935693
PLP2,88,93,cluster_07,#2500ff,5.679534986038938,5.679566163647957
INPP4A,92,56,cluster_07,#2500ff,5.6186317373571955,5.618654757395163
