,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
ITCH,0,0,cluster_08,#b900ff,-0.7560930791163198,-0.7560500200069413
LOC100127886,1,0,cluster_02,#d1ff00,-0.6357074433182811,-0.6356642280812841
PLEKHA2,2,0,cluster_09,#ff00ac,-0.3993160186195852,-0.39946999760998037
GRIA2,3,0,cluster_02,#d1ff00,-0.8712204097656852,-0.8711690821898576
USP25,4,0,cluster_02,#d1ff00,-0.5692224588833836,-0.5691455539404334
PPM1D,5,0,cluster_02,#d1ff00,-0.03889045955971708,-0.03896125356077065
CASP2,6,0,cluster_01,#ff9400,-0.37129453011335684,-0.37125457235849196
SLC16A2,7,0,cluster_01,#ff9400,-0.534930634984692,-0.5350762990549313
HIPK3,8,0,cluster_02,#d1ff00,-0.22166259480433886,-0.22191877238510058
ARSB,9,0,cluster_01,#ff9400,-0.09404073784102653,-0.09392422964072311
MT1E,10,0,cluster_01,#ff9400,-0.47330697261838156,-0.47329907716430214
MT1X,11,0,cluster_01,#ff9400,-0.4026730329810167,-0.40283673355927324
MT2A,12,0,cluster_01,#ff9400,-0.5214976924324864,-0.5214071304002408
MT1G,13,0,cluster_01,#ff9400,-0.605375460932459,-0.605367372317978
MT1HL1,14,0,cluster_01,#ff9400,-0.436086786263538,-0.43619769958811283
MT1H,15,0,cluster_01,#ff9400,-0.672317702104499,-0.6723572869247864
MT1F,16,0,cluster_01,#ff9400,-0.3826933656054548,-0.38271601661118554
KLRC3,17,0,cluster_01,#ff9400,-0.4711640426179237,-0.4712880360432526
AXL,18,0,cluster_01,#ff9400,-0.528870220885343,-0.5288907456723647
HNMT,19,0,cluster_01,#ff9400,-0.5456437163954266,-0.5456396304109513
VSIG4,20,0,cluster_01,#ff9400,-0.30810675214676875,-0.308097565110374
PVRIG,21,0,cluster_03,#3dff00,-0.3954601369780112,-0.3954744947652479
ABCG1,22,0,cluster_01,#ff9400,-0.26300120981394776,-0.26307026811917755
FLT1,23,0,cluster_01,#ff9400,-0.42193932178661575,-0.42200026405925406
CCL8,24,0,cluster_02,#d1ff00,-0.4166151431248519,-0.416526786064173
GHR,25,0,cluster_01,#ff9400,-0.05232191885404819,-0.05226342295386283
CCL2,26,0,cluster_01,#ff9400,-0.5848166319915172,-0.5848788767097672
WWTR1,27,0,cluster_01,#ff9400,-0.2125219955873961,-0.21240909833226473
PALMD,28,0,cluster_01,#ff9400,-0.468893276643987,-0.4687590224420454
FMO3,29,0,cluster_01,#ff9400,-0.5224206667554415,-0.5222697978877321
ADIRF,30,0,cluster_01,#ff9400,-0.7728444347222606,-0.7729529988730548
ABCA8,31,0,cluster_04,#00ff5c,-0.29843980492139954,-0.29841496749140045
SELE,32,0,cluster_02,#d1ff00,-0.40813882538564195,-0.40824570679437816
CYP1B1,33,0,cluster_01,#ff9400,-0.5861600633068497,-0.5861450142580759
C8orf4,34,0,cluster_01,#ff9400,-0.1630640602049091,-0.16297664987046623
C7,35,0,cluster_01,#ff9400,-0.3836970093728008,-0.38361723859581265
PDGFRB,36,0,cluster_01,#ff9400,-0.5523867656562472,-0.5522775856901475
FCN3,37,0,cluster_01,#ff9400,-0.5465393985065864,-0.5464948603232478
PRSS23,38,0,cluster_01,#ff9400,-0.3594403771096036,-0.35947304086942716
ALDH1A3,39,0,cluster_01,#ff9400,-0.6818470663783819,-0.6818449582618508
COL4A2,40,0,cluster_01,#ff9400,-0.3689767307050297,-0.36892073824655125
COL4A1,41,0,cluster_01,#ff9400,-0.00018031501280933477,-0.00026396298611959464
VWF,42,0,cluster_01,#ff9400,0.03356087021972293,0.03356079850918115
FN1,43,0,cluster_01,#ff9400,-0.1754603469394538,-0.17542257351436558
CDH5,44,0,cluster_01,#ff9400,-0.050156873864599695,-0.05018896949617835
PODXL,45,0,cluster_01,#ff9400,-0.16931012934411394,-0.16940285255462184
APOLD1,46,0,cluster_07,#2500ff,-0.16097327026299113,-0.16096933051797072
COL6A3,47,0,cluster_01,#ff9400,-0.22071768696343222,-0.2206367090683467
CRIP2,48,0,cluster_01,#ff9400,-0.46415732851934316,-0.46419422956674083
RFTN1,49,0,cluster_01,#ff9400,-0.4322526036755678,-0.43228347983368004
A2M,50,0,cluster_01,#ff9400,-0.42693502356996826,-0.4269323249292966
COL6A2,51,0,cluster_01,#ff9400,0.11757562116660733,0.11763937833539836
GIMAP6,52,0,cluster_01,#ff9400,-0.22601367952868376,-0.22577074902256858
IQCG,53,0,cluster_09,#ff00ac,-0.3305419552680741,-0.3307234403970775
HLA-DRA,54,0,cluster_09,#ff00ac,-0.405144125951974,-0.4052440773291494
HLA-DPB1,55,0,cluster_09,#ff00ac,-0.2836488367347466,-0.2837460631554952
GAGE3,56,0,cluster_03,#3dff00,-0.48744982284528376,-0.4874665605340343
MAGEA12,57,0,cluster_03,#3dff00,-0.21094353803324228,-0.21098202163468233
CTAG2,58,0,cluster_03,#3dff00,-0.07481742268558823,-0.07476963821630705
