,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
TRGV4,0,0,cluster_04,#00ff5c,-0.29667081445587373,-0.29668559614028334
TRGV3,1,0,cluster_04,#00ff5c,-0.27215665892115193,-0.27218393535151464
TRGV2,2,0,cluster_04,#00ff5c,-0.3505804208773997,-0.3505435359540317
TRGV5P,3,0,cluster_04,#00ff5c,-0.3371876922982577,-0.33717739715781386
GOLGA8UP,4,0,cluster_09,#ff00ac,-0.3327327317750078,-0.3327320471077333
GOLGA8N,5,0,cluster_09,#ff00ac,-0.35522842736562116,-0.3552308522374228
GOLGA8Q,6,0,cluster_09,#ff00ac,-0.3198131719960754,-0.31979642836575883
GOLGA8R,7,0,cluster_09,#ff00ac,-0.32004861447052474,-0.32004105396461846
GOLGA8O,8,0,cluster_09,#ff00ac,-0.23930894488788385,-0.23930965007354982
GOLGA8S,9,0,cluster_09,#ff00ac,-0.34035942057438634,-0.34036416671861197
GOLGA8IP,10,0,cluster_09,#ff00ac,-0.2153945835696385,-0.21541471323372932
LINC02256,11,0,cluster_09,#ff00ac,-0.2639749376174945,-0.2639576845595124
GOLGA8J,12,0,cluster_09,#ff00ac,-0.2902863870740227,-0.29028535251773213
CHRNA7,13,0,cluster_09,#ff00ac,-0.7393600426429742,-0.7393548989588224
CHRFAM7A,14,0,cluster_09,#ff00ac,1.2770425736660347,1.2770456053853905
RPS4Y1,15,0,cluster_05,#00fff6,1.9481379187052945,1.9481455105400765
DDX3Y,16,0,cluster_05,#00fff6,1.589922643584355,1.589854310439076
UTY,17,0,cluster_05,#00fff6,2.3030192910169203,2.303051636144572
KDM5D,18,0,cluster_05,#00fff6,1.06104925680636,1.0610534157318985
PRKY,19,0,cluster_05,#00fff6,0.605943935842597,0.6059510867026019
PSMA6P1,20,0,cluster_05,#00fff6,0.5941443374046963,0.5941626329826266
ZFY,21,0,cluster_05,#00fff6,1.3981251613181036,1.3981161369192194
RNU6-260P,22,0,cluster_01,#ff9400,-0.3197207420562381,-0.3197527310004512
CACNA1D,23,0,cluster_01,#ff9400,0.22548815287731755,0.22540646838402512
NSFL1C,24,0,cluster_07,#2500ff,-0.19540588741622816,-0.19545507160220885
EID3,25,0,cluster_01,#ff9400,0.9812723747914689,0.9812596260544846
HIPK1,26,0,cluster_04,#00ff5c,-0.15031714077207373,-0.1503775101306629
RBM14,27,0,cluster_01,#ff9400,0.4947209497415674,0.4947012047517183
RN7SL242P,28,0,cluster_01,#ff9400,-0.21048934031827113,-0.2104997392475497
RNY1P12,29,0,cluster_01,#ff9400,-0.0962520933089423,-0.09631162416155552
SRP14P3,30,0,cluster_01,#ff9400,-0.27112923338433953,-0.2711426906131996
RPGR,31,0,cluster_04,#00ff5c,-0.026536163275157777,-0.026604231129931537
DSTN,32,0,cluster_08,#b900ff,0.7102355801337716,0.7101972767216818
MAK,33,0,cluster_04,#00ff5c,-0.6844577140681212,-0.6844878179289742
SEC31A,34,0,cluster_01,#ff9400,1.1374773720196794,1.137481653921167
MIR1278,35,0,cluster_01,#ff9400,0.5492484594636744,0.549251908340386
RN7SL413P,36,0,cluster_01,#ff9400,0.062478202921051426,0.062401367376229436
ATP5PBP1,37,0,cluster_01,#ff9400,0.6684534631132597,0.6683945962090072
RN7SKP69,38,0,cluster_01,#ff9400,1.1586739292733623,1.1586882426132739
RTN4,39,0,cluster_01,#ff9400,0.18886220517992028,0.18886081589016487
PIMREGP4,40,0,cluster_03,#3dff00,1.5084495603647752,1.5084287202901947
DPRXP1,41,0,cluster_01,#ff9400,0.48377898830440325,0.48375435683830637
WDFY2,42,0,cluster_01,#ff9400,0.32254939044634756,0.3225050908546462
CYCSP4,43,0,cluster_02,#d1ff00,0.3805655900785097,0.38058493751611977
RNU6-509P,44,0,cluster_03,#3dff00,0.7455618860496833,0.7455148361228968
RNU4-49P,45,0,cluster_02,#d1ff00,-0.050865728770041335,-0.050894750660777345
RPL22P3,46,0,cluster_02,#d1ff00,0.3880934994347121,0.38805564174150275
HNRNPU,47,0,cluster_02,#d1ff00,0.3594087654577319,0.3593883096561348
RN7SL230P,48,0,cluster_01,#ff9400,0.30924405834355684,0.3092033822581762
RNU6-1237P,49,0,cluster_01,#ff9400,-0.26629532511991416,-0.26628220110507367
GABPB1-IT1,50,0,cluster_01,#ff9400,-0.2036719052711913,-0.20370725530319733
ERVFRD-1,51,0,cluster_03,#3dff00,-0.18188459348234173,-0.18189634425829845
TATDN1P1,52,0,cluster_01,#ff9400,-0.2695009223703907,-0.2695027316611986
HYPK,53,0,cluster_02,#d1ff00,-0.21128923171284258,-0.21124770511910654
MTND6P18,54,0,cluster_02,#d1ff00,0.06051739735188613,0.06055781429913128
MIR4434,55,0,cluster_02,#d1ff00,-0.1934972105225678,-0.19349447907286543
ATG12P2,56,0,cluster_02,#d1ff00,-0.3195268916931466,-0.319494571280546
PPIAP2,57,0,cluster_03,#3dff00,0.03375154107454469,0.033720407383914276
AK3P5,58,0,cluster_03,#3dff00,-0.23990144839898556,-0.23992081738336127
RNU6-522P,59,0,cluster_03,#3dff00,-0.15413605309193598,-0.15411177933012643
SMG1P6,60,0,cluster_01,#ff9400,-0.21453198212843497,-0.2145499238542655
NPIPB9,61,0,cluster_05,#00fff6,-0.15935097825518735,-0.15936412526734356
SMG1P2,62,0,cluster_01,#ff9400,-0.33726225862006265,-0.33729987165956643
SMG1P7,63,0,cluster_01,#ff9400,-0.3766872404334496,-0.37672801622386637
SMG1P5,64,0,cluster_01,#ff9400,-0.29144854117358565,-0.29148791785760725
SMG1P4,65,0,cluster_01,#ff9400,-0.44062551424414775,-0.4406412229463248
SMG1P3,66,0,cluster_01,#ff9400,-0.2461900564797482,-0.24617329923094738
SMG1P1,67,0,cluster_01,#ff9400,-0.2702396563838004,-0.27026214002136534
NPIPB10P,68,0,cluster_05,#00fff6,-0.3078212993026437,-0.307779286368407
NPIPB2,69,0,cluster_05,#00fff6,-0.326594700488436,-0.3266397557679654
A2M-AS1,70,0,cluster_07,#2500ff,-0.2974332316913203,-0.2974400102430382
A2MP1,71,0,cluster_07,#2500ff,-0.25524845000921387,-0.25524612194481416
LINC00612,72,0,cluster_07,#2500ff,-0.19113462277177684,-0.19113054913901487
A2M,73,0,cluster_07,#2500ff,-0.2754558637929378,-0.27543521865112525
BTG1P1,74,0,cluster_07,#2500ff,-0.2147046729662153,-0.21472098946119597
PZP,75,0,cluster_07,#2500ff,-0.11150702445399455,-0.11148294267119645
HNRNPA1P34,76,0,cluster_07,#2500ff,-0.258059152901014,-0.2580057860256938
KRT17P8,77,0,cluster_07,#2500ff,-0.014620477413983346,-0.01454566088214665
KLRG1,78,0,cluster_07,#2500ff,-0.10508486808153292,-0.105048088495084
GOLT1B,79,0,cluster_02,#d1ff00,-0.11203708509043947,-0.11198682947829337
DNAJB9,80,0,cluster_02,#d1ff00,-0.029811772359488294,-0.029754950126841612
GTF2IP12,81,0,cluster_04,#00ff5c,-0.48335954915883234,-0.4832959714462746
GTF2IP20,82,0,cluster_04,#00ff5c,-0.33659116291185814,-0.33653382533429455
CNTROB,83,0,cluster_07,#2500ff,-0.36789470364663035,-0.36788708328496145
SMDT1,84,0,cluster_02,#d1ff00,-0.40512679186821965,-0.4051455173224781
PABPC3,85,0,cluster_02,#d1ff00,-0.1498943129197392,-0.14995128940702132
PABPC1,86,0,cluster_02,#d1ff00,-0.6128709431390994,-0.6128896566632327
SRSF5,87,0,cluster_02,#d1ff00,0.08998244876916081,0.08992816185454099
CCNL1,88,0,cluster_02,#d1ff00,-0.6704026451227908,-0.6704095314534518
SNORD20,89,0,cluster_08,#b900ff,-0.460654657139013,-0.4606729116265474
MIR7111,90,0,cluster_08,#b900ff,-0.23097933499748008,-0.23094798542183875
SNHG12,91,0,cluster_09,#ff00ac,0.26205449722972013,0.2620496789459053
SNORD99,92,0,cluster_09,#ff00ac,0.08566053368581143,0.08557909875957954
SNORD101,93,0,cluster_09,#ff00ac,-0.18582747407367847,-0.18579337918809108
GAS5-AS1,94,0,cluster_08,#b900ff,-0.12170601437184837,-0.12174386304594695
SNORD83A,95,0,cluster_08,#b900ff,0.26697988270372586,0.26692184935636154
SNORD30,96,0,cluster_08,#b900ff,-0.24392187742502222,-0.24393309328500085
PARP16,97,0,cluster_09,#ff00ac,-0.18624534805549434,-0.18628724182255907
MIP,98,0,cluster_04,#00ff5c,-0.06872832553867385,-0.06874278838571701
SNORD12C,99,0,cluster_04,#00ff5c,0.05545912220637981,0.05540236170612086
GAR1-DT,100,0,cluster_06,#0074ff,-0.6548646410084721,-0.6548723432754878
STAM-AS1,101,0,cluster_04,#00ff5c,-0.36564647892511154,-0.3656487562639407
CBX3P2,102,0,cluster_04,#00ff5c,0.065500362569637,0.06546588537282366
RPL7P42,103,0,cluster_04,#00ff5c,-0.3136458445911206,-0.3136444158118432
TRBV7-3,104,0,cluster_04,#00ff5c,-0.3124167316904349,-0.31240298406205336
LINC01144,105,0,cluster_04,#00ff5c,-0.1745542749207305,-0.1745200415977627
OR2B2,106,0,cluster_04,#00ff5c,-0.317654448010021,-0.3177268296648524
B3GALT9,107,0,cluster_04,#00ff5c,-0.18580458164787636,-0.18576004346569494
LARP1P1,108,0,cluster_04,#00ff5c,-0.22488759752021786,-0.2248756184286546
H1-12P,109,0,cluster_04,#00ff5c,-0.18383307916971448,-0.18378420383230157
H2BC19P,110,0,cluster_04,#00ff5c,-0.40211939034283734,-0.40208253728907506
ENSG00000203819,111,0,cluster_04,#00ff5c,-0.21918262285356216,-0.2191724965762496
H4C10P,112,0,cluster_04,#00ff5c,0.018434790378208738,0.018470982576551775
CFAP94,113,0,cluster_04,#00ff5c,0.20312260720904482,0.20312322077234116
PPP1R21-DT,114,0,cluster_04,#00ff5c,0.7826583448140605,0.782665502497006
SNORD27,115,0,cluster_04,#00ff5c,0.7909967319297355,0.7910190071690356
LINC01952,116,0,cluster_07,#2500ff,0.19850626736842814,0.1985080363434699
LINC01011,117,0,cluster_04,#00ff5c,0.2441534533654532,0.2441713944617373
MIR3143,118,0,cluster_04,#00ff5c,-0.06961678768078379,-0.06960516332570761
CYCSP55,119,0,cluster_06,#0074ff,0.8488957923826159,0.8488681135650811
LINC01358,120,0,cluster_04,#00ff5c,1.0426530305056798,1.0427047476543416
H2AC5P,121,0,cluster_07,#2500ff,1.1396428419250264,1.1396777151871498
CYCS,122,0,cluster_06,#0074ff,0.4234303056495436,0.42345005760892923
HIPK1-AS1,123,0,cluster_04,#00ff5c,0.07283104657960417,0.07283786721387896
NUP210L,124,0,cluster_08,#b900ff,0.2438996106047246,0.24392795819768448
SSBL4P,125,0,cluster_08,#b900ff,-0.16196649002103075,-0.1619642294090721
RNU11,126,0,cluster_02,#d1ff00,0.8202289279006919,0.8201708465131514
TMEM107,127,0,cluster_02,#d1ff00,-0.5430634502757228,-0.5430316778162039
RNVU1-30,128,0,cluster_02,#d1ff00,0.022526248896941794,0.0225616665145546
RNVU1-34,129,0,cluster_02,#d1ff00,-0.23955571812822588,-0.2395685972313051
POU2F3,130,0,cluster_02,#d1ff00,-0.09419320601519067,-0.09415345308697774
RNVU1-21,131,0,cluster_02,#d1ff00,-0.21666886545765376,-0.21666121147510642
RNVU1-2,132,0,cluster_02,#d1ff00,-0.013579795125929627,-0.013553280845515199
RNVU1-3,133,0,cluster_02,#d1ff00,-0.141979699539714,-0.1419713339646283
RNVU1-6,134,0,cluster_02,#d1ff00,-0.23990708112222586,-0.2398914279771878
RNVU1-22,135,0,cluster_02,#d1ff00,0.07243867606305136,0.07245499731025049
TRGV5,0,1,cluster_04,#00ff5c,-0.34647150434101187,-0.346520134720699
TRG-AS1,1,1,cluster_04,#00ff5c,-0.2908938820832796,-0.29094468597678225
TRGV1,2,1,cluster_04,#00ff5c,-0.35027332683797047,-0.35033139605055336
AMPH,3,1,cluster_04,#00ff5c,-0.3281839557484664,-0.3282571070222278
RDM1P4,4,1,cluster_01,#ff9400,-0.2974309917639163,-0.29744906097258145
RN7SL199P,5,1,cluster_01,#ff9400,-0.3454100350201259,-0.345414386728916
LRRC37A2,6,1,cluster_01,#ff9400,-0.3056860999335763,-0.3057253505831635
LRRC37A,7,1,cluster_01,#ff9400,-0.32895916694249555,-0.32903564470697866
RN7SL656P,8,1,cluster_01,#ff9400,-0.20005407537325645,-0.20008997564793474
GOLGA8T,9,1,cluster_09,#ff00ac,-0.3452400949741994,-0.345291839342081
GOLGA8K,10,1,cluster_09,#ff00ac,-0.26336571327909103,-0.2633631667474382
GOLGA8H,11,1,cluster_09,#ff00ac,-0.3344120298388852,-0.33446097779526485
ULK4P3,12,1,cluster_09,#ff00ac,-0.35907067263670805,-0.3591423470931669
ULK4P2,13,1,cluster_09,#ff00ac,-0.19954993243602567,-0.19959628320300712
ULK4P1,14,1,cluster_09,#ff00ac,0.2014764983183471,0.20145408191074
