,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
HIST1H2AM,0,0,cluster_02,#d1ff00,-0.690626011345083,-0.6905743569232499
HIST1H2BN,1,0,cluster_02,#d1ff00,0.20467996036931396,0.20473023564873744
HIST1H2BC,2,0,cluster_02,#d1ff00,-0.5434182235803877,-0.5433650474006027
HIST2H4A,3,0,cluster_02,#d1ff00,-0.3977755544176008,-0.3977005237161413
HIST1H2BD,4,0,cluster_02,#d1ff00,-0.3337971798996615,-0.33373821260303294
HIST2H2AA3,5,0,cluster_02,#d1ff00,0.4332288635125671,0.4331873970718543
HIST2H2BF,6,0,cluster_09,#ff00ac,-0.24037305732019865,-0.240274087333438
HIST2H2BA,7,0,cluster_09,#ff00ac,-0.2571274821644804,-0.25700286472025513
HIST2H3C,8,0,cluster_02,#d1ff00,-0.1345460841535795,-0.13456425316917506
HIST3H2A,9,0,cluster_03,#3dff00,0.5160142872934469,0.5159770512066877
HIST1H2BG,10,0,cluster_02,#d1ff00,-0.21398137915798718,-0.21399644176388755
KCNRG,11,0,cluster_04,#00ff5c,-0.17538878459178517,-0.1754562576793405
CD164L2,12,0,cluster_07,#2500ff,-0.22229879534645924,-0.22225853284628866
ECT2L,13,0,cluster_04,#00ff5c,0.2035681852273794,0.20349324448317127
C9orf24,14,0,cluster_04,#00ff5c,-0.5019454026074404,-0.5019557974819843
TPPP3,15,0,cluster_01,#ff9400,-0.5028099939275288,-0.502713576217125
ZNF474,16,0,cluster_04,#00ff5c,-0.32997202234859113,-0.3299140403948355
KIF19,17,0,cluster_04,#00ff5c,-0.7016940558275329,-0.7017513824745104
EFCAB1,18,0,cluster_04,#00ff5c,-0.547395854106873,-0.5472917255275165
RFX2,19,0,cluster_01,#ff9400,-0.752628416044495,-0.7525102639762996
LRRC34,20,0,cluster_05,#00fff6,0.08895707313983511,0.08892408397190733
C6orf97,21,0,cluster_04,#00ff5c,-0.5977226227945607,-0.597657657673773
DNAH10,22,0,cluster_04,#00ff5c,-0.2623783298539553,-0.26243582168966867
KIAA1377,23,0,cluster_04,#00ff5c,-0.14025066090326266,-0.14022780464761683
GRIN2D,24,0,cluster_08,#b900ff,-0.5725938508068227,-0.572607441975196
SLC8A2,25,0,cluster_03,#3dff00,-0.5523426589918171,-0.5523282825630277
HOXD9,26,0,cluster_03,#3dff00,-0.2558534339576432,-0.25588438354112597
HOXA9,27,0,cluster_04,#00ff5c,-0.7594596029227445,-0.7594840048760789
HOXA10,28,0,cluster_04,#00ff5c,-0.692102887671007,-0.6920494029966607
HOXD1,29,0,cluster_02,#d1ff00,-0.6580402552037088,-0.6580615722499358
HOXA7,30,0,cluster_04,#00ff5c,-0.7057623033570333,-0.7057504758385204
SLC17A7,31,0,cluster_03,#3dff00,-0.7234569338848604,-0.7234392665008568
HOXA5,32,0,cluster_04,#00ff5c,-0.7083198811499183,-0.7082991388779982
CPT1C,33,0,cluster_04,#00ff5c,-0.6565137224681807,-0.6565260742303569
HOXA3,34,0,cluster_04,#00ff5c,-0.6243497254194176,-0.6243436206580455
ETNK2,35,0,cluster_02,#d1ff00,-0.6280755957120759,-0.6281104976628082
HOXA4,36,0,cluster_04,#00ff5c,-0.6387653548412779,-0.6387007172717153
HOXA2,37,0,cluster_04,#00ff5c,-0.6149235484380515,-0.614957910220743
CACNB1,38,0,cluster_04,#00ff5c,-0.6191567390332553,-0.619199734647296
ESPNL,39,0,cluster_02,#d1ff00,-0.6213671367916634,-0.6213575040576926
EFNA3,40,0,cluster_03,#3dff00,-0.6797498768485476,-0.6797861662597131
IGF2,41,0,cluster_04,#00ff5c,-0.6048242516794908,-0.6047594216834344
DLX3,42,0,cluster_02,#d1ff00,-0.5029467490821733,-0.5029725002885208
DPF1,43,0,cluster_02,#d1ff00,-0.49603761319926143,-0.49604551259454355
RNF112,44,0,cluster_02,#d1ff00,-0.6312586091613045,-0.6312047350763771
PSD,45,0,cluster_04,#00ff5c,0.2768961935573961,0.2768783556952892
SLC2A4,46,0,cluster_08,#b900ff,-0.1858251421609416,-0.1859055483369864
FLJ12825,47,0,cluster_04,#00ff5c,-0.5219606652027909,-0.5218980271628164
ADAM33,48,0,cluster_02,#d1ff00,-0.10512192925106661,-0.10512761526718016
LSM1,49,0,cluster_05,#00fff6,-0.5934715654212608,-0.5934516369611771
WHSC1L1,50,0,cluster_05,#00fff6,-0.32093405412057185,-0.32094272023990744
PROSC,51,0,cluster_05,#00fff6,-0.4624996064571578,-0.46254462273949704
ASH2L,52,0,cluster_05,#00fff6,-0.38100080336089337,-0.3809184731726193
PPAPDC1B,53,0,cluster_05,#00fff6,-0.42098968135859866,-0.4210386894923517
LETM2,54,0,cluster_05,#00fff6,-0.4760894069978358,-0.47608855279538004
DDHD2,55,0,cluster_05,#00fff6,-0.5921017487970317,-0.5920047787906305
PLEKHA2,56,0,cluster_05,#00fff6,0.262192371958372,0.2621549189615699
BRF2,57,0,cluster_05,#00fff6,-0.5079541892965329,-0.5080227842998546
ERLIN2,58,0,cluster_05,#00fff6,-0.2751836594671326,-0.27517259673154265
TM2D2,59,0,cluster_05,#00fff6,-0.4646015575915263,-0.46459382180874514
BAG4,60,0,cluster_06,#0074ff,-0.3705831088129458,-0.3705796033924895
ITGB1BP2,61,0,cluster_01,#ff9400,-0.5045831577275931,-0.5045836045961812
SMTNL1,62,0,cluster_07,#2500ff,-0.5825150225104373,-0.5825103254408024
MUSTN1,63,0,cluster_04,#00ff5c,-0.7459108000149323,-0.7458976187089331
STAC3,64,0,cluster_04,#00ff5c,-0.7183618156399382,-0.7183713343912953
NEB,65,0,cluster_04,#00ff5c,-0.7066627834334805,-0.706594030961511
MYOM3,66,0,cluster_04,#00ff5c,-0.7563976764874157,-0.7563172450278434
CKM,67,0,cluster_04,#00ff5c,-0.7600116833236172,-0.7599420780752277
MB,68,0,cluster_07,#2500ff,-0.7674535353827411,-0.7674331892660661
TNNI2,69,0,cluster_07,#2500ff,-0.7532380694972558,-0.7531746891420051
ACTA1,70,0,cluster_04,#00ff5c,-0.7773033623427579,-0.7772765690958015
MYOM2,71,0,cluster_04,#00ff5c,-0.7612932953693613,-0.7612467719140211
PHKG1,72,0,cluster_01,#ff9400,-0.7745391870946229,-0.7743828587746232
HSPB7,73,0,cluster_04,#00ff5c,-0.7572204212754277,-0.7572271161133709
BIN3,74,0,cluster_03,#3dff00,-0.7706845358068594,-0.7706333921222321
R3HCC1,75,0,cluster_03,#3dff00,-0.7662463115469116,-0.766168320602903
FBXO25,76,0,cluster_01,#ff9400,-0.7245520615182216,-0.7245719332243852
MSRA,77,0,cluster_05,#00fff6,-0.7480477460897319,-0.7479722277833186
NEIL2,78,0,cluster_03,#3dff00,-0.7232000527362992,-0.7231230797860028
INTS9,79,0,cluster_03,#3dff00,-0.7154207768840508,-0.7154194391774417
KIAA1967,80,0,cluster_03,#3dff00,-0.470447259107434,-0.4704361768390141
C8orf41,81,0,cluster_03,#3dff00,-0.6927436279292356,-0.692656209882896
CCDC25,82,0,cluster_03,#3dff00,-0.624872443208484,-0.624906199645309
MAK16,83,0,cluster_03,#3dff00,-0.7406337393018777,-0.7405688714008918
FUT10,84,0,cluster_09,#ff00ac,-0.7238813548039378,-0.7238468877199123
AGPAT5,85,0,cluster_09,#ff00ac,-0.890726211761277,-0.8907359841794789
DCTN6,86,0,cluster_09,#ff00ac,-0.616738153795287,-0.6166466880717424
GTF2E2,87,0,cluster_03,#3dff00,-0.652572390748669,-0.6525692797423458
PPP2CB,88,0,cluster_09,#ff00ac,-0.6061258595363925,-0.6060818364446198
XPO7,89,0,cluster_09,#ff00ac,-0.05838250200815278,-0.0583246271705213
TNKS,90,0,cluster_09,#ff00ac,-0.5863254849062725,-0.5863299508017309
PPP2R2A,91,0,cluster_09,#ff00ac,-0.5552521700100114,-0.5551750436177255
RPL23AP53,92,0,cluster_09,#ff00ac,-0.9344329830519518,-0.9344321681904599
BNIP3L,93,0,cluster_09,#ff00ac,-0.2840703784085959,-0.2840642137387885
TRIM35,94,0,cluster_09,#ff00ac,-0.10092061328727579,-0.10094266926002617
NKX3-1,95,0,cluster_09,#ff00ac,-0.6465278201311832,-0.6465086107513577
KCTD9,96,0,cluster_09,#ff00ac,-0.4433723888184152,-0.44345947810961467
PPP3CC,97,0,cluster_07,#2500ff,-0.40254843613639774,-0.40251971019638066
ENTPD4,98,0,cluster_09,#ff00ac,-0.534572757888551,-0.5345093730666104
GPR4,99,0,cluster_05,#00fff6,-0.30069377923700236,-0.30072607829446807
F2RL3,100,0,cluster_05,#00fff6,-0.09697743078535956,-0.0970092753512292
EXOC3L,101,0,cluster_05,#00fff6,-0.269283341304734,-0.26927794365781643
GJA4,102,0,cluster_05,#00fff6,-0.2635491104329338,-0.2634758915080456
HBA2,103,0,cluster_05,#00fff6,-0.6138929821395263,-0.6139512826953231
ARHGEF15,104,0,cluster_05,#00fff6,-0.6093423932054877,-0.6093634307403184
CXorf36,105,0,cluster_05,#00fff6,-0.5579055367634262,-0.5578561972458553
HIGD1B,106,0,cluster_05,#00fff6,-0.7694052852442392,-0.7693313017528005
APLNR,107,0,cluster_05,#00fff6,-0.5307161436169445,-0.5307420847856587
BCL6B,108,0,cluster_05,#00fff6,-0.6124262387115386,-0.6124313595769066
GRAP,109,0,cluster_05,#00fff6,-0.6698525411323064,-0.6699016816789459
CLEC3B,110,0,cluster_05,#00fff6,-0.5344061580507705,-0.5343878337202463
PCDHB8,111,0,cluster_09,#ff00ac,-0.1888547934645453,-0.18896106596879012
PCDHB6,112,0,cluster_09,#ff00ac,-0.029742407424236627,-0.029684436487375895
PCDHB3,113,0,cluster_09,#ff00ac,-0.13650776038051607,-0.13650981092740705
PCDHB4,114,0,cluster_09,#ff00ac,0.4791201008235563,0.4791141204782575
PCDHB7,115,0,cluster_09,#ff00ac,0.2348548326427007,0.234851965237894
PCDHB9,116,0,cluster_09,#ff00ac,-0.5426742400409039,-0.5427345729164385
PCDHB2,117,0,cluster_09,#ff00ac,-0.5275687941063002,-0.5275468718748166
PCDHB12,118,0,cluster_09,#ff00ac,-0.15328877465703608,-0.15324839173395355
VENTX,119,0,cluster_07,#2500ff,-0.08762525274190049,-0.08763177867873251
APOC2,120,0,cluster_07,#2500ff,-0.40818112905463244,-0.4081515200871311
NR1H3,121,0,cluster_03,#3dff00,-0.1386379120453361,-0.138611921784347
KCNJ10,122,0,cluster_05,#00fff6,-0.6860448199339317,-0.6860862187369805
HIST1H2BK,0,1,cluster_02,#d1ff00,-0.6277552110733393,-0.6277763539012772
HIST1H1C,1,1,cluster_02,#d1ff00,-0.4840681100935571,-0.484098170218492
HIST1H2BE,2,1,cluster_02,#d1ff00,-0.6783153669474653,-0.6783687622905334
HIST1H4H,3,1,cluster_02,#d1ff00,-0.5662721592786739,-0.56618377137591
HIST1H3D,4,1,cluster_02,#d1ff00,1.6498875387920324,1.6498713875218753
HIST2H2BE,5,1,cluster_02,#d1ff00,0.2420254363220257,0.2420902154286337
HIST1H2BO,6,1,cluster_02,#d1ff00,0.7710273371412305,0.7709746066384694
HIST1H3E,7,1,cluster_06,#0074ff,0.618581613721149,0.618558759690912
HIST4H4,8,1,cluster_09,#ff00ac,0.7244237471882593,0.7244997555524109
PHF16,9,1,cluster_05,#00fff6,0.2577916000986075,0.25788878114390035
USP11,10,1,cluster_04,#00ff5c,0.5382836178823401,0.5383231560490982
BAIAP3,11,1,cluster_05,#00fff6,1.5340363689903191,1.5340140836155933
C2orf62,12,1,cluster_05,#00fff6,-0.01018112913501148,-0.01012444707754134
CCDC17,13,1,cluster_05,#00fff6,-0.2991169701380779,-0.2990159572599609
CCDC147,14,1,cluster_04,#00ff5c,-0.28549879889306295,-0.2853652789344032
ENKUR,15,1,cluster_04,#00ff5c,-0.24437071089823242,-0.24434275912030767
FAM154B,16,1,cluster_04,#00ff5c,-0.13078197522314555,-0.1307257002037933
KCNE1,17,1,cluster_04,#00ff5c,-0.04240489255964189,-0.04236723367350243
C1orf192,18,1,cluster_04,#00ff5c,-0.6399126086769443,-0.6399385884160294
ROPN1L,19,1,cluster_04,#00ff5c,-0.36475168266680896,-0.3647438993321646
RSPH4A,20,1,cluster_04,#00ff5c,-0.32476505580579124,-0.3248118527483031
RPGR,21,1,cluster_04,#00ff5c,-0.05560661708878123,-0.05562214384905495
ODF2L,22,1,cluster_09,#ff00ac,-0.5350513752684852,-0.5350170860871859
SYT5,23,1,cluster_03,#3dff00,-0.43140263737650947,-0.4314277257763742
C7orf61,24,1,cluster_03,#3dff00,-0.6359229076608843,-0.6358408652563329
HOXA11,25,1,cluster_04,#00ff5c,0.08025638835818581,0.08013562895446166
INA,26,1,cluster_04,#00ff5c,-0.5942264809085696,-0.5942698152805478
HOXD3,27,1,cluster_02,#d1ff00,-0.6760952843616107,-0.6760948442445317
HOXD10,28,1,cluster_03,#3dff00,-0.35958226718133535,-0.3595658621272918
HOXD8,29,1,cluster_03,#3dff00,-0.5083640572856605,-0.5083796758956479
TMIE,30,1,cluster_02,#d1ff00,-0.5959953701670591,-0.5959809392280223
HOXD4,31,1,cluster_02,#d1ff00,-0.6655298571048865,-0.6654831037690676
GRIK5,32,1,cluster_04,#00ff5c,-0.6745020963887909,-0.6745547971300836
TCF15,33,1,cluster_04,#00ff5c,-0.35923127926263987,-0.3591658502554775
GCK,34,1,cluster_04,#00ff5c,-0.6830726815673571,-0.6831008411847644
ZDHHC14,35,1,cluster_04,#00ff5c,-0.6202782341021402,-0.620363375097282
FSD1,36,1,cluster_04,#00ff5c,-0.7031162450201565,-0.70313256672102
PGAM2,37,1,cluster_02,#d1ff00,-0.6241950302583763,-0.6241418558817311
KCNG1,38,1,cluster_04,#00ff5c,-0.49041749492263,-0.49040291259871316
COL11A2,39,1,cluster_04,#00ff5c,-0.7571068142756557,-0.7571029752717803
EMILIN3,40,1,cluster_04,#00ff5c,-0.5868655036157925,-0.5868587403974799
TTYH1,41,1,cluster_04,#00ff5c,-0.6112783180608162,-0.611344287805985
COL9A3,42,1,cluster_04,#00ff5c,-0.61343599052381,-0.6134438405380602
SEMA6C,43,1,cluster_04,#00ff5c,-0.7005923351818325,-0.7006170797068996
CNTFR,44,1,cluster_04,#00ff5c,-0.4120292705455982,-0.41208140853215247
ATP1A3,45,1,cluster_04,#00ff5c,-0.2365977988292554,-0.23650401180116584
ABCG4,46,1,cluster_02,#d1ff00,-0.13201112980060636,-0.1320435972269647
OSR2,47,1,cluster_03,#3dff00,-0.38212877542180634,-0.38216666604854216
CCDC3,48,1,cluster_02,#d1ff00,-0.21965214983721415,-0.21970970107010832
