,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
HIST1H2AM,0,0,cluster_02,#d1ff00,-1.1574404657939221,-1.1574271318912115
HIST1H2BN,1,0,cluster_02,#d1ff00,-1.0362989387664272,-1.0364919445851366
HIST1H2BC,2,0,cluster_02,#d1ff00,-1.1580300292599888,-1.1581625183205453
HIST2H4A,3,0,cluster_02,#d1ff00,-1.0510334678036262,-1.0510160873625543
HIST1H2BD,4,0,cluster_02,#d1ff00,-1.0188648305014454,-1.0188842461542225
HIST2H2AA3,5,0,cluster_02,#d1ff00,-0.9951821798417265,-0.9952606646703372
HIST2H2BF,6,0,cluster_09,#ff00ac,-1.079383622425397,-1.0795822880487138
HIST2H2BA,7,0,cluster_09,#ff00ac,-1.0211021604058206,-1.0211371543390186
HIST2H3C,8,0,cluster_02,#d1ff00,-0.7804388762901632,-0.7806113034610289
HIST3H2A,9,0,cluster_03,#3dff00,-0.5725597899875632,-0.5724822540405123
HIST1H2BG,10,0,cluster_02,#d1ff00,-0.5735711140729295,-0.573537092538222
KCNRG,11,0,cluster_04,#00ff5c,-0.976856555529703,-0.9767771969141058
CD164L2,12,0,cluster_07,#2500ff,-0.8147495319734535,-0.8149396035491393
ECT2L,13,0,cluster_04,#00ff5c,-0.5468750593201698,-0.5470144278495647
C9orf24,14,0,cluster_04,#00ff5c,-0.7027014558829979,-0.7026726478045487
TPPP3,15,0,cluster_01,#ff9400,-0.5416466873619619,-0.5416212373581107
ZNF474,16,0,cluster_04,#00ff5c,-0.29338973793894735,-0.29328730263253516
KIF19,17,0,cluster_04,#00ff5c,-0.2392822585985433,-0.23923163820805535
EFCAB1,18,0,cluster_04,#00ff5c,0.22364688990632223,0.22353142301818935
RFX2,19,0,cluster_01,#ff9400,0.9766368188930644,0.9767781553836455
LRRC34,20,0,cluster_05,#00fff6,0.9591931876046274,0.9590802571378028
C6orf97,21,0,cluster_04,#00ff5c,0.3732958276548334,0.373411783166596
DNAH10,22,0,cluster_04,#00ff5c,0.7924007106126474,0.7923762547677758
KIAA1377,23,0,cluster_04,#00ff5c,1.385502150375023,1.3856431779958334
GRIN2D,24,0,cluster_08,#b900ff,1.0675997447379206,1.0675898242822848
SLC8A2,25,0,cluster_03,#3dff00,0.4731319574713147,0.4729729552749491
HOXD9,26,0,cluster_03,#3dff00,0.8840166217334762,0.8839976414071492
HOXA9,27,0,cluster_04,#00ff5c,0.5508955937840304,0.5510819904231689
HOXA10,28,0,cluster_04,#00ff5c,1.1477642539840989,1.1477718023936412
HOXD1,29,0,cluster_02,#d1ff00,0.6506822131118642,0.6504291689118742
HOXA7,30,0,cluster_04,#00ff5c,0.7861124778875422,0.7862617462914476
SLC17A7,31,0,cluster_03,#3dff00,0.4694174607007283,0.46947329610698574
HOXA5,32,0,cluster_04,#00ff5c,0.6955018161207976,0.6953203747992748
CPT1C,33,0,cluster_04,#00ff5c,0.3067499477005282,0.3067004729283979
HOXA3,34,0,cluster_04,#00ff5c,1.039238729652927,1.039267130930729
ETNK2,35,0,cluster_02,#d1ff00,0.46651819456530264,0.4664874564239507
HOXA4,36,0,cluster_04,#00ff5c,0.0832158261670102,0.08335789634642392
HOXA2,37,0,cluster_04,#00ff5c,0.017554735836878204,0.017627187703429224
CACNB1,38,0,cluster_04,#00ff5c,-0.5094287003240463,-0.509552504666008
ESPNL,39,0,cluster_02,#d1ff00,-0.14044069519588986,-0.14041299692758782
EFNA3,40,0,cluster_03,#3dff00,-0.21619945029281115,-0.21606939851101215
IGF2,41,0,cluster_04,#00ff5c,-0.31935343352844814,-0.3193874328591175
DLX3,42,0,cluster_02,#d1ff00,0.008470868313024791,0.008480197111230606
DPF1,43,0,cluster_02,#d1ff00,-0.1666435435587919,-0.1666337141306216
RNF112,44,0,cluster_02,#d1ff00,-0.2291969129182648,-0.2291066776324666
PSD,45,0,cluster_04,#00ff5c,-0.04171477202469114,-0.04170325726969252
SLC2A4,46,0,cluster_08,#b900ff,-0.10355829957717579,-0.10353146036448906
