,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
C11orf41,0,0,cluster_01,#ffbd00,-0.9146261509997619,-0.914587137910569
ABCC1,1,0,cluster_06,#7200ff,-0.9073520783050618,-0.9073529303515213
AKR1C1,2,0,cluster_06,#7200ff,-0.8595399889180033,-0.859515760813677
PTGR1,3,0,cluster_07,#ff00cf,-0.8913874930162594,-0.8913789982557428
TALDO1,4,0,cluster_07,#ff00cf,-0.847743018867913,-0.8477535033643532
ABCB6,5,0,cluster_06,#7200ff,-0.8257570453559393,-0.8257030117572357
G6PD,6,0,cluster_06,#7200ff,-0.742255257786245,-0.7422843367389707
SRXN1,7,0,cluster_06,#7200ff,-0.7661462989473917,-0.7661648183189875
GCLC,8,0,cluster_06,#7200ff,-0.7738448203956126,-0.7739175772950948
SLC7A11,9,0,cluster_06,#7200ff,-0.7053200092997248,-0.7052785378631988
PANX2,10,0,cluster_06,#7200ff,-0.5509639509471347,-0.5509605268627212
ME1,11,0,cluster_03,#00ff39,-0.28878847533185,-0.28880994016290396
DGKG,12,0,cluster_06,#7200ff,-0.7528071231221324,-0.7527177476710001
CES1,13,0,cluster_02,#84ff00,-0.46972429313451375,-0.4696802103578621
CDH13,14,0,cluster_07,#ff00cf,-0.5064812363313647,-0.5065379146191125
CYP27B1,15,0,cluster_07,#ff00cf,-0.47199387847739577,-0.47195748395115444
CCDC109B,16,0,cluster_07,#ff00cf,-0.3486870459498334,-0.3486803593015655
USP18,17,0,cluster_07,#ff00cf,-0.6063588646746118,-0.6063400256506813
RSAD2,18,0,cluster_07,#ff00cf,-0.3813308998980889,-0.3813255915350719
CMPK2,19,0,cluster_07,#ff00cf,-0.11868254281405632,-0.11867698418318973
HERC6,20,0,cluster_07,#ff00cf,-0.47355938459875296,-0.47360189268524044
IFI44,21,0,cluster_07,#ff00cf,-0.3422207551712453,-0.34219219709129467
OASL,22,0,cluster_07,#ff00cf,-0.383084476877092,-0.3831582983097803
IFI44L,23,0,cluster_07,#ff00cf,-0.21137413679676834,-0.2113713314487123
IRF7,24,0,cluster_06,#7200ff,-0.5761462530300605,-0.5761023242605102
MX1,25,0,cluster_07,#ff00cf,-0.5676744009986775,-0.567602796500813
IFI6,26,0,cluster_07,#ff00cf,-0.5452964550860644,-0.5451785344017228
IFIT1,27,0,cluster_07,#ff00cf,-0.6311761197371745,-0.6312060773893832
ISG15,28,0,cluster_07,#ff00cf,-0.4445061001972446,-0.4444858719142692
IFIT2,29,0,cluster_07,#ff00cf,-0.6591750120629329,-0.6592367551973379
LY6E,30,0,cluster_07,#ff00cf,-0.7574185053541869,-0.7574545866564074
IFITM1,31,0,cluster_07,#ff00cf,-0.6383462331475588,-0.6382670125468928
TRIM22,32,0,cluster_06,#7200ff,-0.4307291891722278,-0.4307330160401141
EPSTI1,33,0,cluster_06,#7200ff,-0.547734068119066,-0.5477893561414784
LAP3,34,0,cluster_06,#7200ff,-0.6503029170324535,-0.6503554982224957
CXCL11,35,0,cluster_02,#84ff00,-0.5443234752064161,-0.5442935452535309
WARS,36,0,cluster_06,#7200ff,-0.8032830504662262,-0.8032935682114012
GBP4,37,0,cluster_06,#7200ff,0.7256074782058566,0.7256424128102322
KIR2DL4,38,0,cluster_02,#84ff00,0.07297086728424287,0.07298113018584011
SH2D1B,39,0,cluster_02,#84ff00,-0.046711753505325984,-0.046645587547163636
KLRC2,40,0,cluster_02,#84ff00,0.16662052509373898,0.1665891224499636
GNLY,41,0,cluster_02,#84ff00,0.3424955634038625,0.34249176290564964
GZMA,42,0,cluster_02,#84ff00,0.9060952751340839,0.9060421260759544
XCL2,43,0,cluster_02,#84ff00,-0.05822329775841083,-0.05822977992997722
FASLG,44,0,cluster_02,#84ff00,-0.1317078451437972,-0.1317130309112393
KLRK1,45,0,cluster_02,#84ff00,0.2983762892994249,0.2983295962319801
CD160,46,0,cluster_02,#84ff00,-0.8086428183498525,-0.8086253606233968
GFI1,47,0,cluster_02,#84ff00,0.4498926073361575,0.44996387087938555
XCL1,48,0,cluster_02,#84ff00,0.6212943460805596,0.6213305446872951
LAG3,49,0,cluster_02,#84ff00,0.08568710929551263,0.08562482757249855
GPR18,50,0,cluster_02,#84ff00,-0.48012660726141343,-0.4802015584405355
SOCS1,51,0,cluster_02,#84ff00,-0.532665516542665,-0.5326424072866104
GZMK,52,0,cluster_02,#84ff00,-0.468655110055585,-0.4686936348165163
