,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
C11orf41,0,0,cluster_01,#ffbd00,-0.951281760455702,-0.951158995407108
ABCC1,1,0,cluster_06,#7200ff,-0.6299169936549037,-0.629683068862559
AKR1C1,2,0,cluster_06,#7200ff,-0.37244268183034673,-0.37249946752072466
PTGR1,3,0,cluster_07,#ff00cf,-0.6960405997631289,-0.6960850002973339
TALDO1,4,0,cluster_07,#ff00cf,0.29619776768200495,0.2963061329991155
ABCB6,5,0,cluster_06,#7200ff,1.6128951300196763,1.6128931810036318
G6PD,6,0,cluster_06,#7200ff,0.10904138014317451,0.10919728317072484
SRXN1,7,0,cluster_06,#7200ff,-0.8295153005451446,-0.8294248784905849
GCLC,8,0,cluster_06,#7200ff,0.3829395124306374,0.3828332505170163
SLC7A11,9,0,cluster_06,#7200ff,-0.19482107532010373,-0.19479803016547975
PANX2,10,0,cluster_06,#7200ff,1.422799874306118,1.4229018612435627
ME1,11,0,cluster_03,#00ff39,0.8747511298273994,0.8748139573735719
DGKG,12,0,cluster_06,#7200ff,0.15798856569793612,0.1581046569519879
CES1,13,0,cluster_02,#84ff00,-0.8006747268487682,-0.8005382379566549
CDH13,14,0,cluster_07,#ff00cf,0.3447044170494524,0.34469077180104973
CYP27B1,15,0,cluster_07,#ff00cf,0.7338489962196642,0.733778373321138
CCDC109B,16,0,cluster_07,#ff00cf,1.4429804754822053,1.4430021680611118
USP18,17,0,cluster_07,#ff00cf,0.6706288624458074,0.6704124566858038
RSAD2,18,0,cluster_07,#ff00cf,0.17819577902944353,0.1783989963806115
CMPK2,19,0,cluster_07,#ff00cf,0.4864962666418698,0.48645396792262835
HERC6,20,0,cluster_07,#ff00cf,0.5918999073574682,0.5917607277044289
IFI44,21,0,cluster_07,#ff00cf,0.35899591900460104,0.3588577642120452
OASL,22,0,cluster_07,#ff00cf,0.6300971661625543,0.6301740872810649
IFI44L,23,0,cluster_07,#ff00cf,1.0594230781801541,1.0596606493167728
IRF7,24,0,cluster_06,#7200ff,0.3049164404587082,0.3050420353577178
MX1,25,0,cluster_07,#ff00cf,0.9712928114328336,0.9713389893100194
IFI6,26,0,cluster_07,#ff00cf,-0.3554898377376008,-0.3556132137367197
IFIT1,27,0,cluster_07,#ff00cf,0.4762801468957684,0.4763159119860339
ISG15,28,0,cluster_07,#ff00cf,0.37300893329583845,0.37302730319257404
IFIT2,29,0,cluster_07,#ff00cf,0.5983493863979238,0.5986399136056386
LY6E,30,0,cluster_07,#ff00cf,-0.7712359784559835,-0.7711709059640023
IFITM1,31,0,cluster_07,#ff00cf,2.774795276436439,2.7748552471596435
TRIM22,32,0,cluster_06,#7200ff,1.623097351803377,1.6230303473990648
EPSTI1,33,0,cluster_06,#7200ff,1.3734005760814367,1.3733481171431627
LAP3,34,0,cluster_06,#7200ff,0.6839034958441703,0.6839095871503591
CXCL11,35,0,cluster_02,#84ff00,1.526434736160395,1.526271217215588
WARS,36,0,cluster_06,#7200ff,2.682637599109323,2.6825720996237803
GBP4,37,0,cluster_06,#7200ff,1.0757654554712888,1.075468557888534
KIR2DL4,38,0,cluster_02,#84ff00,2.5777314395351336,2.577655113394911
SH2D1B,39,0,cluster_02,#84ff00,2.32855211256986,2.3286265645900635
KLRC2,40,0,cluster_02,#84ff00,2.8722469432002486,2.8722422313020526
GNLY,41,0,cluster_02,#84ff00,4.606546834663752,4.606496881638769
GZMA,42,0,cluster_02,#84ff00,3.7866261307976004,3.786680959276577
XCL2,43,0,cluster_02,#84ff00,-0.6444281478843903,-0.6445044913354694
FASLG,44,0,cluster_02,#84ff00,2.087885960740113,2.087876007605559
KLRK1,45,0,cluster_02,#84ff00,1.0908047551946387,1.0907643365755724
CD160,46,0,cluster_02,#84ff00,-1.4453047754627935,-1.4454766139442
GFI1,47,0,cluster_02,#84ff00,1.5739085510413522,1.5739030616797334
XCL1,48,0,cluster_02,#84ff00,0.22876116798301713,0.2288057929216506
LAG3,49,0,cluster_02,#84ff00,1.037516950476935,1.0375260359433873
GPR18,50,0,cluster_02,#84ff00,-0.1502360076875501,-0.15020276973323363
SOCS1,51,0,cluster_02,#84ff00,-0.13830915093472645,-0.1382195175195303
GZMK,52,0,cluster_02,#84ff00,-0.6954457598677888,-0.6955764172122926
CXCR2P1,53,0,cluster_02,#84ff00,0.4618579548088135,0.46182495307945937
PVRIG,54,0,cluster_02,#84ff00,0.4521580433103367,0.4520088754829498
SIT1,55,0,cluster_02,#84ff00,-0.41824447686051963,-0.4182534843794619
CXCR3,56,0,cluster_02,#84ff00,0.26418074511066963,0.2640414345933422
LTA,57,0,cluster_02,#84ff00,-0.5216712679495551,-0.5214609004396998
MEI1,58,0,cluster_02,#84ff00,-0.16412838341109443,-0.1642224923825202
TAS1R3,59,0,cluster_06,#7200ff,-0.6361610484661026,-0.6361845976996252
POU2AF1,60,0,cluster_02,#84ff00,-0.5115092551878495,-0.5116040094153924
KCNN3,61,0,cluster_02,#84ff00,-0.36945276582650644,-0.3694312776370152
JSRP1,62,0,cluster_06,#7200ff,-0.42480160801406225,-0.4248346720060916
DERL3,63,0,cluster_02,#84ff00,-0.5015046776937172,-0.5014328929595744
FLJ40330,64,0,cluster_02,#84ff00,-0.35510139435721866,-0.3550925670945461
LOC96610,65,0,cluster_02,#84ff00,-0.27206613648949035,-0.27202614313221624
MGC29506,66,0,cluster_02,#84ff00,-0.062115571919869765,-0.062072341566531505
FCRL5,67,0,cluster_02,#84ff00,-0.6465081524273983,-0.6464597821170373
FCRLA,68,0,cluster_02,#84ff00,-0.6448594435984616,-0.6449408127968683
PNOC,69,0,cluster_02,#84ff00,-0.7167361120834299,-0.7165407913278559
CPNE5,70,0,cluster_02,#84ff00,-0.7548092324533112,-0.7549165441478877
P2RX1,71,0,cluster_02,#84ff00,-0.544450559498822,-0.5443806787212172
CD19,72,0,cluster_02,#84ff00,-0.5715373907170708,-0.5716212172180877
LOC283663,73,0,cluster_02,#84ff00,-0.48819578517816264,-0.48819892109320945
CD22,74,0,cluster_02,#84ff00,-0.4074677266879511,-0.4074429504011494
CD79B,75,0,cluster_01,#ffbd00,-0.4035472725039506,-0.4035445531630729
CCL21,76,0,cluster_02,#84ff00,-0.4061563286054928,-0.40597431626272507
LCN10,77,0,cluster_01,#ffbd00,-0.5062950409588208,-0.5061371783663817
TIFAB,78,0,cluster_01,#ffbd00,-0.3410951999064856,-0.340965387819208
GRIN3A,79,0,cluster_01,#ffbd00,0.07363078625418153,0.07373308169579362
CD37,80,0,cluster_02,#84ff00,-0.3418015000898143,-0.3419357642114691
ADAMDEC1,81,0,cluster_02,#84ff00,-0.40402353803066465,-0.40382262185141016
NCF1C,82,0,cluster_02,#84ff00,-0.556958395473461,-0.5568437855728573
CLEC10A,83,0,cluster_02,#84ff00,-0.17807442443544028,-0.17816236954518988
P2RY13,84,0,cluster_02,#84ff00,-0.10577221761929771,-0.10578646963535208
CHIT1,85,0,cluster_01,#ffbd00,-0.4023212208787678,-0.40234715426633827
MICB,86,0,cluster_07,#ff00cf,-0.20011340372219397,-0.20021668029243572
CD83,87,0,cluster_01,#ffbd00,-0.7412428537917021,-0.7412983775790651
AOAH,88,0,cluster_02,#84ff00,-0.20629120937965909,-0.20653270536783605
LCP1,89,0,cluster_01,#ffbd00,-0.49832896965890894,-0.4981053310491599
PLEK,90,0,cluster_02,#84ff00,-0.3104481155191417,-0.31049875342886013
CD300LF,91,0,cluster_02,#84ff00,-0.4118735965199855,-0.4119179857946833
IGSF6,92,0,cluster_02,#84ff00,-0.5930682457314462,-0.5929973027592644
ARL11,93,0,cluster_03,#00ff39,-0.4456117135087043,-0.445379378145712
PLA2G7,94,0,cluster_02,#84ff00,-0.7686649813291326,-0.7685212641739219
SIGLEC12,95,0,cluster_02,#84ff00,-0.6640692441249416,-0.664036499754657
MPEG1,96,0,cluster_02,#84ff00,-0.6910200944392834,-0.6909332479128271
ATP6V0D2,97,0,cluster_01,#ffbd00,-0.7762993264863575,-0.7763921575653625
SNX10,98,0,cluster_03,#00ff39,-0.6875455621883318,-0.6873940000762532
HS3ST2,99,0,cluster_01,#ffbd00,-0.680784859121733,-0.680780379554762
ITGB2,100,0,cluster_03,#00ff39,-0.700260191284143,-0.7002815589021002
CLEC4E,101,0,cluster_02,#84ff00,-0.7769525129823343,-0.7770648042767978
PPT1,102,0,cluster_01,#ffbd00,-0.7834836819249381,-0.7834474699245692
LILRB5,103,0,cluster_03,#00ff39,-0.7636887336889661,-0.7637754755377594
TMEM150B,104,0,cluster_02,#84ff00,-0.7753534592582431,-0.7754272875093496
LILRB4,105,0,cluster_03,#00ff39,-0.7296663896526359,-0.7296039989056211
CD209,106,0,cluster_03,#00ff39,-0.781265358458943,-0.7811931253757811
LILRA3,107,0,cluster_02,#84ff00,-0.7206337588565687,-0.7207613692499298
KCNK13,108,0,cluster_01,#ffbd00,-0.6966041095210753,-0.6966535623879975
CCR1,109,0,cluster_02,#84ff00,-0.7837421172570281,-0.7838819747601266
LILRA6,110,0,cluster_02,#84ff00,-0.8739531869250092,-0.8739330174719326
LILRB2,111,0,cluster_02,#84ff00,-0.7247843647031665,-0.7247035322435783
NLRC4,112,0,cluster_02,#84ff00,-0.7271585451785281,-0.7271911053413587
SLC24A4,113,0,cluster_01,#ffbd00,-0.6307011266909969,-0.6307890447106107
CTSL1,114,0,cluster_07,#ff00cf,-0.6718304809694745,-0.6718204918800714
SIGLEC7,115,0,cluster_02,#84ff00,-0.838612321232295,-0.838813241131659
CCL8,116,0,cluster_03,#00ff39,-0.58361618685749,-0.5837250077086226
CCL2,117,0,cluster_03,#00ff39,-0.6238384856194278,-0.6237521930666092
CYP19A1,118,0,cluster_03,#00ff39,-0.6426494967907843,-0.6426104450060788
CCL7,119,0,cluster_03,#00ff39,-0.6911648415711142,-0.691193477822113
SCARF1,120,0,cluster_02,#84ff00,-0.6131173603798923,-0.6132158504231425
SH2D3C,121,0,cluster_02,#84ff00,-0.7330400874537221,-0.7329193410094165
SELP,122,0,cluster_03,#00ff39,-0.6516163564301936,-0.6517537633946014
COL4A6,0,1,cluster_07,#ff00cf,-0.6263302010226066,-0.6261031693171779
TMEM132A,1,1,cluster_06,#7200ff,-0.3455709446669815,-0.3454587928857198
FST,2,1,cluster_07,#ff00cf,-0.04536587665559494,-0.04542377737016083
CDK6,3,1,cluster_07,#ff00cf,0.22394780547015516,0.22399165632956486
NQO1,4,1,cluster_06,#7200ff,0.37448311315360544,0.3745567726361678
AKR1C2,5,1,cluster_06,#7200ff,0.07507303070433809,0.07489454661706134
CBR1,6,1,cluster_06,#7200ff,0.5243573933021702,0.5242223686348243
AKR1C3,7,1,cluster_06,#7200ff,0.9066431041799629,0.9066398133080777
TRIM16L,8,1,cluster_06,#7200ff,-0.4411461824778856,-0.4411132846868859
OSGIN1,9,1,cluster_06,#7200ff,0.12050635566650442,0.12048157638666276
GCLM,10,1,cluster_06,#7200ff,-0.29004282359030514,-0.2900269520479333
AGPAT9,11,1,cluster_06,#7200ff,0.3255600231379054,0.32565810867633604
RIT1,12,1,cluster_02,#84ff00,-0.412870700477306,-0.4129465508689324
TTLL11,13,1,cluster_07,#ff00cf,2.0344540576799814,2.034546146453406
FEZ1,14,1,cluster_07,#ff00cf,0.48592085474265245,0.48569728369319226
SLC38A5,15,1,cluster_07,#ff00cf,1.3943959592494126,1.394472496686154
TNFAIP8,16,1,cluster_07,#ff00cf,1.1882768633957665,1.188328997650901
GPR68,17,1,cluster_07,#ff00cf,1.2674121392223023,1.2672049781614088
IFI27L2,18,1,cluster_06,#7200ff,1.0511723012851169,1.0513140726628971
PLSCR1,19,1,cluster_07,#ff00cf,1.325531686197107,1.3253842213394118
OAS2,20,1,cluster_07,#ff00cf,0.8292914935028024,0.8292129250315152
PRIC285,21,1,cluster_06,#7200ff,0.3485874488700038,0.3483822424787867
MX2,22,1,cluster_07,#ff00cf,0.034024941660393236,0.03402435536696051
IFI27,23,1,cluster_07,#ff00cf,1.092784490657062,1.092754124988974
DDX58,24,1,cluster_07,#ff00cf,0.6072812887825921,0.6071843346140042
DDX60,25,1,cluster_07,#ff00cf,0.7261505238086782,0.7259600678438433
IFIT5,26,1,cluster_07,#ff00cf,0.45100600301289817,0.45092743853483785
IFIT3,27,1,cluster_07,#ff00cf,0.7844187141079774,0.7846682174675169
TDRD7,28,1,cluster_07,#ff00cf,1.7662028053431262,1.7662368884930875
TRIM14,29,1,cluster_07,#ff00cf,1.7291113508707523,1.7291856267199226
PSTPIP2,30,1,cluster_07,#ff00cf,1.9058501992626329,1.9057934336246414
STAT2,31,1,cluster_06,#7200ff,-0.2909186889102977,-0.2909799386753486
STAT1,32,1,cluster_06,#7200ff,2.1244364749672746,2.124505573171206
GBP1,33,1,cluster_06,#7200ff,1.5832653873594293,1.5831359482146907
LOC400759,34,1,cluster_06,#7200ff,2.0698410605726787,2.0699203237429593
SAMD9L,35,1,cluster_06,#7200ff,0.9059212649196517,0.9058446257894648
CXCL10,36,1,cluster_02,#84ff00,1.941339657348665,1.9413199937688612
IDO1,37,1,cluster_06,#7200ff,3.366744855854988,3.3667132571743954
ITGAE,38,1,cluster_04,#00fff6,1.3852547490206377,1.3852229939935183
GZMB,39,1,cluster_02,#84ff00,0.4923661090312322,0.49238325140452344
KLRC1,40,1,cluster_02,#84ff00,2.3623359190332964,2.362349772127876
CD247,41,1,cluster_02,#84ff00,2.90313568162964,2.903160716460297
TMIGD2,42,1,cluster_02,#84ff00,1.274951591703939,1.2749186709052678
SLA2,43,1,cluster_02,#84ff00,2.598354660734231,2.5983571900405704
KLRD1,44,1,cluster_02,#84ff00,3.387743428140755,3.3876449549657157
TARP,45,1,cluster_02,#84ff00,1.2274806680744321,1.22748576648622
PRF1,46,1,cluster_02,#84ff00,-0.12224676685970848,-0.12235672802910995
NKG7,47,1,cluster_02,#84ff00,1.387999961001186,1.3878759655486284
CD3E,48,1,cluster_02,#84ff00,2.1577423720109223,2.157736613069818
IL2RB,49,1,cluster_02,#84ff00,-0.40936275510344305,-0.40942443939049417
JAKMIP1,50,1,cluster_02,#84ff00,0.9393072045407306,0.9390524894530085
