,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
C11orf41,0,0,cluster_01,#ffbd00,-0.7090870020868097,-0.7090828281675658
ABCC1,1,0,cluster_06,#7200ff,-0.7486577549544235,-0.7486880991847197
AKR1C1,2,0,cluster_06,#7200ff,-0.7428707913853699,-0.7428483889898323
PTGR1,3,0,cluster_07,#ff00cf,-0.6772223920383786,-0.6771813555989439
TALDO1,4,0,cluster_07,#ff00cf,-0.5078100256123104,-0.5078022723227611
ABCB6,5,0,cluster_06,#7200ff,-0.5076272841835492,-0.5076581590350208
G6PD,6,0,cluster_06,#7200ff,-0.8016686007112531,-0.8016249446928163
SRXN1,7,0,cluster_06,#7200ff,-0.7680579247037069,-0.7680664406125423
GCLC,8,0,cluster_06,#7200ff,-0.5503532361756373,-0.5503893591927608
SLC7A11,9,0,cluster_06,#7200ff,-0.7455420826982084,-0.7456133617033778
PANX2,10,0,cluster_06,#7200ff,-0.7491281233101672,-0.7491069708035668
ME1,11,0,cluster_03,#00ff39,-0.504792792490183,-0.5047094012784422
DGKG,12,0,cluster_06,#7200ff,-0.6807507115287345,-0.6807983489317021
CES1,13,0,cluster_02,#84ff00,-0.490337757591854,-0.49033846943342163
CDH13,14,0,cluster_07,#ff00cf,-0.6978291574114279,-0.6978568098775554
CYP27B1,15,0,cluster_07,#ff00cf,-0.47292031682862,-0.4729279387835333
CCDC109B,16,0,cluster_07,#ff00cf,-0.6639516619236008,-0.6639053715816159
USP18,17,0,cluster_07,#ff00cf,-0.5651383496354807,-0.5651642219929348
RSAD2,18,0,cluster_07,#ff00cf,-0.7874636407623049,-0.787427162687778
CMPK2,19,0,cluster_07,#ff00cf,-0.6738101597050005,-0.6738361514734398
HERC6,20,0,cluster_07,#ff00cf,-0.7089537475093286,-0.7089947835565947
IFI44,21,0,cluster_07,#ff00cf,-0.590992669243076,-0.5909209290667625
OASL,22,0,cluster_07,#ff00cf,-0.7278781437367878,-0.7278656724490139
IFI44L,23,0,cluster_07,#ff00cf,-0.6527017095524867,-0.6526635218338992
IRF7,24,0,cluster_06,#7200ff,-0.39669271880021734,-0.39671803923714993
MX1,25,0,cluster_07,#ff00cf,-0.6986878438436762,-0.6986769032720106
IFI6,26,0,cluster_07,#ff00cf,-0.7020099655762836,-0.7019754167577996
IFIT1,27,0,cluster_07,#ff00cf,-0.6345013076082703,-0.6344788573945214
ISG15,28,0,cluster_07,#ff00cf,-0.5976715461731488,-0.5977158750839747
IFIT2,29,0,cluster_07,#ff00cf,-0.6102369397107236,-0.6101927942679455
LY6E,30,0,cluster_07,#ff00cf,-0.30918720367342406,-0.3091922857205251
IFITM1,31,0,cluster_07,#ff00cf,-0.559162513396194,-0.5591633219943358
TRIM22,32,0,cluster_06,#7200ff,-0.3771183906898164,-0.3771138682172747
EPSTI1,33,0,cluster_06,#7200ff,-0.5098780110868628,-0.5098706810336575
LAP3,34,0,cluster_06,#7200ff,-0.5518370603468474,-0.5518738051670765
CXCL11,35,0,cluster_02,#84ff00,-0.4883204096287047,-0.4883383103694756
WARS,36,0,cluster_06,#7200ff,-0.7987306319737232,-0.7987356323373184
GBP4,37,0,cluster_06,#7200ff,0.17237037148431023,0.17245147593815643
KIR2DL4,38,0,cluster_02,#84ff00,-0.5657393537796472,-0.5657494211949462
SH2D1B,39,0,cluster_02,#84ff00,0.005309456945564535,0.005316377035657523
KLRC2,40,0,cluster_02,#84ff00,-0.48850118629725686,-0.48844596939759843
GNLY,41,0,cluster_02,#84ff00,-0.5630867221236409,-0.5630990437539964
GZMA,42,0,cluster_02,#84ff00,-0.5596981001672102,-0.5597203853642725
XCL2,43,0,cluster_02,#84ff00,-0.28824635022704603,-0.28820800430067195
FASLG,44,0,cluster_02,#84ff00,-0.27313983761076566,-0.27320878176829844
KLRK1,45,0,cluster_02,#84ff00,0.3038004801797874,0.30384831634614157
CD160,46,0,cluster_02,#84ff00,-0.6478688365048898,-0.647948047901615
GFI1,47,0,cluster_02,#84ff00,-0.4462696580204814,-0.44623963168551334
XCL1,48,0,cluster_02,#84ff00,-0.1647218362658784,-0.1647248915152901
LAG3,49,0,cluster_02,#84ff00,-0.3496401311705077,-0.3496319581575577
GPR18,50,0,cluster_02,#84ff00,0.0020281866277738593,0.0020581892928518857
SOCS1,51,0,cluster_02,#84ff00,-0.45637145818651276,-0.45638386371417716
