,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
C11orf41,0,0,cluster_01,#ffbd00,-0.7381883759957502,-0.7381442070650597
ABCC1,1,0,cluster_06,#7200ff,-0.8353340070521179,-0.8353186359610667
AKR1C1,2,0,cluster_06,#7200ff,-0.7455625965909031,-0.7456100274064379
PTGR1,3,0,cluster_07,#ff00cf,-0.590338358530712,-0.590325320346309
TALDO1,4,0,cluster_07,#ff00cf,-0.8310785303010834,-0.8310387927129235
ABCB6,5,0,cluster_06,#7200ff,-0.6384683225646697,-0.6385334896736575
G6PD,6,0,cluster_06,#7200ff,-0.8606057370366748,-0.8605044975605761
SRXN1,7,0,cluster_06,#7200ff,-0.7021720421049203,-0.7021423225182062
GCLC,8,0,cluster_06,#7200ff,-0.8237430877595306,-0.8238142187163554
SLC7A11,9,0,cluster_06,#7200ff,-0.7154512054650782,-0.7154741732875226
PANX2,10,0,cluster_06,#7200ff,-0.3074108334651226,-0.3074373363741754
ME1,11,0,cluster_03,#00ff39,-0.18908772627702136,-0.18915052433891533
DGKG,12,0,cluster_06,#7200ff,-0.32847428722407046,-0.3284418263102494
CES1,13,0,cluster_02,#84ff00,-0.37654063802209853,-0.3764945077256672
CDH13,14,0,cluster_07,#ff00cf,-0.26494744440498336,-0.264899241721825
CYP27B1,15,0,cluster_07,#ff00cf,-0.12940883717616924,-0.12942369413515634
CCDC109B,16,0,cluster_07,#ff00cf,0.17537932431811426,0.17535803150098941
USP18,17,0,cluster_07,#ff00cf,0.15291307930073966,0.152883067109304
RSAD2,18,0,cluster_07,#ff00cf,-0.25766692680174413,-0.2576772806909317
CMPK2,19,0,cluster_07,#ff00cf,-0.16388847217760633,-0.16382572003466364
HERC6,20,0,cluster_07,#ff00cf,0.0272065224486217,0.02712645034490472
IFI44,21,0,cluster_07,#ff00cf,0.07194531525293321,0.07197471975712662
OASL,22,0,cluster_07,#ff00cf,-0.1876618476402958,-0.18759697610636653
IFI44L,23,0,cluster_07,#ff00cf,-0.058044952845703636,-0.05802809038239542
IRF7,24,0,cluster_06,#7200ff,-0.30045676699508705,-0.3004811620037123
MX1,25,0,cluster_07,#ff00cf,0.08411040613042886,0.08408143573133277
IFI6,26,0,cluster_07,#ff00cf,-0.3939884705557838,-0.3939851315270756
IFIT1,27,0,cluster_07,#ff00cf,-0.059550881761040494,-0.059580035832883
ISG15,28,0,cluster_07,#ff00cf,-0.24374863992133677,-0.24369411592078968
IFIT2,29,0,cluster_07,#ff00cf,-0.29549524747800743,-0.2955753319092031
LY6E,30,0,cluster_07,#ff00cf,-0.2521123024310804,-0.2520580230214528
IFITM1,31,0,cluster_07,#ff00cf,-0.4336939232089259,-0.43366300539612496
TRIM22,32,0,cluster_06,#7200ff,-0.4728698196999822,-0.4727570565533457
EPSTI1,33,0,cluster_06,#7200ff,-0.4216145347147002,-0.42154732561746816
LAP3,34,0,cluster_06,#7200ff,-0.6088299360930939,-0.6088226146494267
CXCL11,35,0,cluster_02,#84ff00,-0.5905175234520735,-0.5905196518581366
WARS,36,0,cluster_06,#7200ff,-0.7582003522259807,-0.7581535425108953
GBP4,37,0,cluster_06,#7200ff,-0.6909999658290703,-0.691012365919957
KIR2DL4,38,0,cluster_02,#84ff00,-0.6471096790163781,-0.6470907975961304
SH2D1B,39,0,cluster_02,#84ff00,-0.6012354488608321,-0.6012298380335918
KLRC2,40,0,cluster_02,#84ff00,-0.6697579922279804,-0.6696927812464792
GNLY,41,0,cluster_02,#84ff00,-0.48127056495658554,-0.4813055278470952
GZMA,42,0,cluster_02,#84ff00,-0.20750428161268955,-0.20760516657200304
XCL2,43,0,cluster_02,#84ff00,-0.4445295175865892,-0.444524235768469
FASLG,44,0,cluster_02,#84ff00,-0.38897425208644437,-0.3889513318029742
KLRK1,45,0,cluster_02,#84ff00,-0.2212208836228067,-0.22123795648790745
CD160,46,0,cluster_02,#84ff00,-0.6228590434811225,-0.622827438969619
GFI1,47,0,cluster_02,#84ff00,0.028217975025185933,0.02817273609986663
XCL1,48,0,cluster_02,#84ff00,0.07471722622652877,0.07471787745315933
LAG3,49,0,cluster_02,#84ff00,0.3264643517110986,0.3264675248262682
GPR18,50,0,cluster_02,#84ff00,-0.05301374107536663,-0.053032464282646075
SOCS1,51,0,cluster_02,#84ff00,0.47943570416249087,0.4794448280596024
GZMK,52,0,cluster_02,#84ff00,0.631979183103623,0.6319889455672036
CXCR2P1,53,0,cluster_02,#84ff00,0.5557921950505467,0.5557911373973717
PVRIG,54,0,cluster_02,#84ff00,0.9103242268917288,0.9103642230620095
SIT1,55,0,cluster_02,#84ff00,1.1360926036393626,1.1360571251277136
CXCR3,56,0,cluster_02,#84ff00,2.066739380907731,2.066761634960986
LTA,57,0,cluster_02,#84ff00,1.3576664636390297,1.3576680098047822
MEI1,58,0,cluster_02,#84ff00,1.5271634337227333,1.5270895774016144
TAS1R3,59,0,cluster_06,#7200ff,1.3132144172848754,1.313202571521071
POU2AF1,60,0,cluster_02,#84ff00,1.3028143628308373,1.3027465235287492
