,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
GCG,0,0,cluster_04,#00fff6,-0.43171107633015243,-0.43173572530317994
DEFA5,1,0,cluster_04,#00fff6,-0.43219071004058696,-0.4322126933741828
MEP1A,2,0,cluster_04,#00fff6,-0.43219196274385546,-0.4322191665294982
SI,3,0,cluster_04,#00fff6,-0.43196507982269655,-0.4320260101987226
MEP1B,4,0,cluster_04,#00fff6,-0.43097337877209985,-0.43098206244246684
CDH17,5,0,cluster_04,#00fff6,-0.43281262359021705,-0.43280725617694943
SLC26A3,6,0,cluster_04,#00fff6,-0.43214178650841445,-0.4321519403483104
APOBEC1,7,0,cluster_04,#00fff6,-0.43239845072651373,-0.43242797291236407
CLCA1,8,0,cluster_04,#00fff6,-0.42987077217269515,-0.4298865005219611
CYP2C18,9,0,cluster_04,#00fff6,-0.4323100283297901,-0.43232185800766576
MAB21L2,10,0,cluster_04,#00fff6,-0.43039192928665526,-0.4304333678758922
ITLN1,11,0,cluster_07,#ff00cf,-0.4317875286272152,-0.4317853720652553
AC008088.4,12,0,cluster_07,#ff00cf,-0.43164954836497516,-0.4316892038257558
TACR3,13,0,cluster_07,#ff00cf,-0.4319974544821238,-0.4320452374281744
FOXN3-AS2,14,0,cluster_07,#ff00cf,-0.43271370878410004,-0.43275045612914187
BC034416,15,0,cluster_07,#ff00cf,-0.43128659041885903,-0.4312850578585089
MIR124-2HG,16,0,cluster_07,#ff00cf,-0.43144960715352565,-0.431475787127961
CT83,17,0,cluster_07,#ff00cf,-0.43197923538377625,-0.43201671573921097
LOC100505912,18,0,cluster_07,#ff00cf,-0.4326910933841941,-0.4327020012430905
IL26,19,0,cluster_04,#00fff6,-0.4322721500306619,-0.43230405707511627
FAM19A4,20,0,cluster_04,#00fff6,-0.4314268948255015,-0.43144692567011966
GPR1-AS,21,0,cluster_07,#ff00cf,-0.43183030785251053,-0.43186242634828176
LOC102724905,22,0,cluster_07,#ff00cf,-0.4301376763684359,-0.4301722015297551
GTF2A1L,23,0,cluster_07,#ff00cf,-0.4277003746940122,-0.4277447379280055
LOC728196,24,0,cluster_07,#ff00cf,-0.4309388796694537,-0.4309781468130762
LOC285692,25,0,cluster_07,#ff00cf,-0.4319510965925694,-0.4319858185761108
LINC00973,26,0,cluster_07,#ff00cf,-0.42951873426054893,-0.4295608148447659
LOC101928271,27,0,cluster_04,#00fff6,-0.4295668898765204,-0.4296168296549629
MAGI2-AS2,28,0,cluster_07,#ff00cf,-0.42984025823368227,-0.42988157742915245
LINC00483,29,0,cluster_04,#00fff6,-0.4316357102286794,-0.4316582974866132
IRGM,30,0,cluster_07,#ff00cf,-0.431280894316678,-0.43133302136587254
PRDM9,31,0,cluster_07,#ff00cf,-0.4318152408926417,-0.4318495478663969
MAGEC1,32,0,cluster_07,#ff00cf,-0.43215679579136834,-0.4321821222081587
FAM159A,33,0,cluster_07,#ff00cf,-0.43224993773286885,-0.43230027122660775
MRGPRX1,34,0,cluster_04,#00fff6,-0.4321287768266198,-0.43214525825178607
TBX22,35,0,cluster_04,#00fff6,-0.43223655158738433,-0.43226265257055935
TCF24,36,0,cluster_04,#00fff6,-0.43249281980182364,-0.4325183822066282
SPDYA,37,0,cluster_04,#00fff6,-0.4324341199879119,-0.4324681572867376
DSG4,38,0,cluster_07,#ff00cf,-0.42973316066514633,-0.429777180647947
BC048997,39,0,cluster_04,#00fff6,-0.43217005211346515,-0.43220306823669347
LRP1B,40,0,cluster_04,#00fff6,-0.43181092539289917,-0.43182045085326953
CLCA3P,41,0,cluster_04,#00fff6,-0.4318379763550978,-0.43185396433480183
LOC100507462,42,0,cluster_04,#00fff6,-0.43179509824654244,-0.4318235791623342
CASC6,43,0,cluster_04,#00fff6,-0.4319357816572595,-0.4319669635151213
BC048420,44,0,cluster_04,#00fff6,-0.43152386300822904,-0.4315555569671442
LINC01419,45,0,cluster_04,#00fff6,-0.43187602798881236,-0.43189840433182913
LOC101928420,46,0,cluster_04,#00fff6,-0.43165835522727414,-0.4316454937597628
LINC00556,47,0,cluster_04,#00fff6,-0.4312722828147159,-0.43129700709814206
SV2C,48,0,cluster_04,#00fff6,-0.43143046470462754,-0.4314250842936341
AC091633.3,49,0,cluster_04,#00fff6,-0.4321166926855619,-0.43213296070601276
CCDC138,50,0,cluster_04,#00fff6,-0.431492047433814,-0.43147875314129047
LINC01254,51,0,cluster_04,#00fff6,-0.43213142972970414,-0.4321608079005552
HYALP1,52,0,cluster_04,#00fff6,-0.4318894247714421,-0.4319079650560999
FREM3,53,0,cluster_04,#00fff6,-0.4300580427293297,-0.4300753429910514
ERVMER61-1,54,0,cluster_04,#00fff6,-0.431464577517593,-0.43149460759630964
LOC400654,55,0,cluster_04,#00fff6,-0.4319709800656557,-0.43199440465088396
CYP4F30P,56,0,cluster_04,#00fff6,-0.4318528745375633,-0.4318919526350117
KCND2,57,0,cluster_04,#00fff6,-0.4296669798153258,-0.42966451408125816
LOC101929123,58,0,cluster_04,#00fff6,-0.4271881415877905,-0.4272105654811428
LOC100505878,59,0,cluster_04,#00fff6,-0.4293677686417626,-0.4293814501332584
FLJ37201,60,0,cluster_04,#00fff6,-0.4303798081151061,-0.4304089840808989
ANKRD30A,61,0,cluster_04,#00fff6,-0.4313297972353281,-0.4313724454235474
MAGEB6,62,0,cluster_04,#00fff6,-0.4331963172780349,-0.4332399551421838
LOC401068,63,0,cluster_07,#ff00cf,-0.43144588388519084,-0.4314364545192354
LOC729506,64,0,cluster_04,#00fff6,-0.4311438820200441,-0.43116629959340114
RP11-389G6.3,65,0,cluster_04,#00fff6,-0.43082557020581314,-0.43082207978654724
CCDC83,66,0,cluster_04,#00fff6,-0.4316831069306716,-0.43171959313823394
PDCD4,67,0,cluster_04,#00fff6,-0.4310232311489079,-0.431016398957166
BC042029,68,0,cluster_04,#00fff6,-0.428211672578124,-0.42823831298137544
MAGEB18,69,0,cluster_04,#00fff6,-0.4277573891291419,-0.42779631890831854
AX746699,70,0,cluster_04,#00fff6,-0.43070908243817735,-0.43074680596301984
LOC101927494,71,0,cluster_04,#00fff6,-0.4299725642434041,-0.43000134864577066
SLC10A7,72,0,cluster_04,#00fff6,-0.43049957800110294,-0.4304661785594054
CCDC26,73,0,cluster_04,#00fff6,-0.4299598984430927,-0.42993767003899486
LINC01093,74,0,cluster_04,#00fff6,-0.42990892962538724,-0.42994810013482787
LOC339862,75,0,cluster_04,#00fff6,-0.43138897878101157,-0.4313871585682741
RP11-476D10.1,76,0,cluster_04,#00fff6,-0.42952524312668505,-0.42956100542875575
LINC01087,77,0,cluster_04,#00fff6,-0.4320298867022938,-0.43202613737961854
MGC39545,78,0,cluster_04,#00fff6,-0.4331646173928499,-0.43320757995992665
GPR87,79,0,cluster_04,#00fff6,-0.429195388457634,-0.4292077397228296
SERTM1,80,0,cluster_04,#00fff6,-0.43334158747131285,-0.4333389614417883
LINC01360,81,0,cluster_04,#00fff6,-0.4282012236192022,-0.42820176537967986
LOC101927066,82,0,cluster_04,#00fff6,-0.4325805814030451,-0.4325970129668014
HRH4,83,0,cluster_04,#00fff6,-0.42695094689845503,-0.4269520867149285
RAB39A,84,0,cluster_04,#00fff6,-0.4280581175302243,-0.4280392475117091
ANKRD34C,85,0,cluster_04,#00fff6,-0.4326196982846069,-0.43260909284070065
LOC101927314,86,0,cluster_04,#00fff6,-0.43162631199986073,-0.4316862915555056
RP11-456P18.2,87,0,cluster_04,#00fff6,-0.4262525448806116,-0.4262695838203036
LINC00347,88,0,cluster_04,#00fff6,-0.42828736453907945,-0.42831224743599045
AREG,89,0,cluster_04,#00fff6,-0.4276946117847634,-0.42774639380991425
RP11-215H22.1,90,0,cluster_04,#00fff6,-0.4223011874723404,-0.4222486868046366
POU4F1,91,0,cluster_04,#00fff6,-0.4316721286337178,-0.43169662417470406
POU6F2-AS2,92,0,cluster_04,#00fff6,-0.4273655709522314,-0.42738175856353716
AC005592.3,93,0,cluster_04,#00fff6,-0.4213659255536127,-0.4213792492752506
CADM2,94,0,cluster_04,#00fff6,-0.4267980778413578,-0.4267949949681635
RP11-257I14.1,95,0,cluster_04,#00fff6,-0.4296470567443345,-0.4296629380028972
FAM9B,96,0,cluster_04,#00fff6,-0.42435242891325115,-0.4243383629297881
BC034444,97,0,cluster_03,#00ff39,-0.4224582484214462,-0.4225043766772747
SLC17A8,98,0,cluster_04,#00fff6,-0.4260845181470353,-0.4261188629586164
GRM6,99,0,cluster_04,#00fff6,-0.4210764266882655,-0.4211109141568595
RAPGEF4-AS1,100,0,cluster_04,#00fff6,-0.41653663654774054,-0.4166799462772465
LHX8,101,0,cluster_03,#00ff39,-0.42982453141721977,-0.42983021096549595
NF1,102,0,cluster_03,#00ff39,-0.4229941500248213,-0.42296420878540875
LOC101927287,103,0,cluster_04,#00fff6,-0.3951314295699998,-0.395269004072645
BC041998,104,0,cluster_04,#00fff6,-0.4011640259027325,-0.401165149081654
BC040311,105,0,cluster_04,#00fff6,-0.4125842201831698,-0.4125544403205373
LOC283585,106,0,cluster_04,#00fff6,-0.41164131768869117,-0.4116745714626821
CTD-2194D22.4,107,0,cluster_04,#00fff6,-0.39888045786353543,-0.39889812053822177
LOC101927358,108,0,cluster_04,#00fff6,-0.38202731292348324,-0.3819969081447572
PRG4,109,0,cluster_04,#00fff6,-0.3646745279127564,-0.36464887905757304
AF198444,110,0,cluster_04,#00fff6,-0.38173147407498204,-0.38176255248460833
C17orf77,111,0,cluster_04,#00fff6,-0.38020606778890664,-0.38021575069710933
PRO2964,112,0,cluster_04,#00fff6,-0.31689530298440055,-0.3169515690189784
DAOA-AS1,113,0,cluster_03,#00ff39,-0.34397233165315727,-0.34403267384259156
ANKRD36C,114,0,cluster_03,#00ff39,-0.3202837523155946,-0.32031439866846634
LOC100507461,115,0,cluster_03,#00ff39,-0.3357213700239686,-0.33576162274652993
LOC158434,116,0,cluster_03,#00ff39,-0.31981168637352264,-0.3198406110628589
LOC93463,117,0,cluster_04,#00fff6,-0.3211297199210294,-0.3211171539254911
GNGT1,118,0,cluster_03,#00ff39,-0.29307683611730356,-0.29306716368187835
AC064852.4,119,0,cluster_03,#00ff39,-0.2799962869640736,-0.2800482399151373
LOC101928401,120,0,cluster_03,#00ff39,-0.2952326436957146,-0.29524740977156755
LOC101929050,121,0,cluster_03,#00ff39,-0.33511577782769675,-0.33505076696610003
CTD-2373J6.1,122,0,cluster_03,#00ff39,-0.36037379848850004,-0.3603856772250997
DEFB114,123,0,cluster_03,#00ff39,-0.30101170977790026,-0.3009532495692931
LOC149351,124,0,cluster_03,#00ff39,-0.3630159119505243,-0.3631126464908291
BC048141,125,0,cluster_03,#00ff39,-0.14513367515433448,-0.14512242911189463
RP11-210K20.4,126,0,cluster_03,#00ff39,-0.21137222486092594,-0.21133509737525616
RP11-278J20.2,127,0,cluster_03,#00ff39,-0.2231867678559168,-0.22314750887241508
BC040734,128,0,cluster_04,#00fff6,-0.3575227746118435,-0.35755292092208746
RP11-457K10.1,129,0,cluster_03,#00ff39,-0.30294598242570187,-0.30295122468300095
LOC101929497,130,0,cluster_03,#00ff39,-0.2157234746487622,-0.21569221651182188
FLJ32955,131,0,cluster_03,#00ff39,-0.24168559718047264,-0.2416453164533208
RBM46,132,0,cluster_03,#00ff39,-0.3270801715762474,-0.32699376073259295
BC048132,133,0,cluster_03,#00ff39,-0.2625236342043365,-0.2625849962088409
BC039319,134,0,cluster_03,#00ff39,-0.24418186972373768,-0.24405260187063743
C9orf38,135,0,cluster_03,#00ff39,-0.27957694549481715,-0.2795316713534795
ZNF90,136,0,cluster_03,#00ff39,-0.1988962809320548,-0.1990173769501774
LINC00102,137,0,cluster_03,#00ff39,-0.24526780104110502,-0.24517527622429738
FAM200A,138,0,cluster_02,#84ff00,-0.020998177780414316,-0.020935924203370527
A2MP1,139,0,cluster_03,#00ff39,-0.1447226207063387,-0.14462265939365268
CMAS,140,0,cluster_02,#84ff00,0.0078059385436335905,0.007917979274165689
RP11-1114A5.4,141,0,cluster_02,#84ff00,-0.19577076627757065,-0.19571629481604477
KDM5D,142,0,cluster_07,#ff00cf,-0.06318044642667911,-0.06316244522689463
DDX3Y,143,0,cluster_07,#ff00cf,-0.036168338994133666,-0.036143420076961044
ZFY,144,0,cluster_07,#ff00cf,-0.23265075468172167,-0.23251953911772197
RPS4Y1,145,0,cluster_07,#ff00cf,0.0633326649383754,0.06334471394097087
