,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
PLA1A,118,27,cluster_07,#ff00cf,16.95536020193983,16.9548450241439
SSR4,122,21,cluster_03,#00ff39,14.976212523791284,14.975806571928866
HLA-DPA1,118,25,cluster_07,#ff00cf,14.731039438191063,14.730656545946012
GBP2,122,27,cluster_07,#ff00cf,13.126138774166355,13.125768274248092
GIMAP7,124,27,cluster_03,#00ff39,13.107082928127651,13.10675041766412
DTX3L,123,28,cluster_07,#ff00cf,12.780651364457267,12.780393882382985
CD3D,120,19,cluster_07,#ff00cf,12.697714717310872,12.697455339704526
HLA-DPB1,121,18,cluster_07,#ff00cf,12.523874478969336,12.523611708325314
PTPRC,122,23,cluster_06,#7200ff,12.230725917387591,12.230553128982509
IRF8,123,22,cluster_03,#00ff39,11.816017253068088,11.81574519497654
TYROBP,119,25,cluster_07,#ff00cf,11.582535165941884,11.582352523810954
CXCL11,121,24,cluster_07,#ff00cf,11.522155131326034,11.521894783150124
MPEG1,122,22,cluster_03,#00ff39,11.477627688177694,11.477366196789394
B2M,117,23,cluster_07,#ff00cf,11.333389431654744,11.333181518812868
HLA-DQA1,125,20,cluster_03,#00ff39,11.319905918015795,11.319578511962092
GMFG,122,20,cluster_03,#00ff39,11.162418237648644,11.162128764273255
MS4A7,121,26,cluster_07,#ff00cf,11.078099244239317,11.077787813776991
GGTA1P,120,22,cluster_07,#ff00cf,10.813317192758086,10.813017840015938
FCER1G,125,21,cluster_03,#00ff39,10.499089601042833,10.498899568048532
CXCL9,119,24,cluster_07,#ff00cf,10.39711736926186,10.397037092494992
EVI2A,121,23,cluster_07,#ff00cf,10.242195081047537,10.241962841887853
FAM26F,124,19,cluster_03,#00ff39,10.163330765937852,10.162994097381963
CXCL10,118,24,cluster_07,#ff00cf,10.058405730924909,10.058200558269734
NLRC5,118,26,cluster_07,#ff00cf,9.757406120359477,9.757188048202107
KLRB1,122,18,cluster_03,#00ff39,9.755238201842726,9.75509624955468
CSF2RB,122,24,cluster_03,#00ff39,9.752223054213463,9.752013880566457
IL10RA,121,22,cluster_07,#ff00cf,9.623399535016857,9.623037763852267
CYTIP,120,20,cluster_07,#ff00cf,9.615285361975053,9.615183695498024
EMB,120,21,cluster_06,#7200ff,9.5020105845742,9.501868902870454
GPR183,123,21,cluster_03,#00ff39,9.429497747002237,9.429236600344517
