,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
LGALS3BP,0,0,cluster_02,#84ff00,-0.8166576406660263,-0.8166713695822027
DHX58,1,0,cluster_02,#84ff00,-0.9430941416362533,-0.9431324486003251
IFITM1,2,0,cluster_02,#84ff00,-0.6439646573173834,-0.6439715755114093
ISG15,3,0,cluster_02,#84ff00,-0.4940986548544326,-0.49409266177015004
IFIT2,4,0,cluster_04,#00fff6,-0.7829853091373221,-0.782991983492107
OAS2,5,0,cluster_02,#84ff00,-0.7579487162635331,-0.7579279976959636
CFP,6,0,cluster_05,#004bff,-0.9427029856732583,-0.9427388513444872
CCL17,7,0,cluster_02,#84ff00,-0.8245883192637613,-0.8245951190718583
CCR6,8,0,cluster_02,#84ff00,-0.6610267349386597,-0.6610399350876297
CD38,9,0,cluster_02,#84ff00,-0.3928277359486734,-0.3928484904361746
TNFRSF17,10,0,cluster_02,#84ff00,-0.6769206350364597,-0.6768745717103782
IGJ,11,0,cluster_02,#84ff00,-0.37872569709834514,-0.3787312844319188
IGLC1,12,0,cluster_02,#84ff00,-0.38183385892238064,-0.3818082852549121
GUSBP11,13,0,cluster_02,#84ff00,-0.3468263296400413,-0.3468183583842261
IGHD,14,0,cluster_02,#84ff00,-0.8741426307037842,-0.8740601519260206
IGHG1,15,0,cluster_02,#84ff00,-0.5099564516038307,-0.5099578650552439
IGKC,16,0,cluster_02,#84ff00,-0.640867590565707,-0.6408594982197848
IGK,17,0,cluster_02,#84ff00,-0.7153318793213695,-0.7153193262594276
LOC100293211,18,0,cluster_03,#00ff39,-0.7115951725070679,-0.7116380235428731
LOC101930405,19,0,cluster_03,#00ff39,-0.5026471471697286,-0.5026726145942242
TP63,20,0,cluster_03,#00ff39,-0.8397400424727306,-0.839727636489743
TRAV12-2,21,0,cluster_03,#00ff39,-0.534241279599374,-0.5342291000199069
MAPK11,22,0,cluster_03,#00ff39,-0.5428263567725827,-0.5428254239939917
CELA3B,23,0,cluster_03,#00ff39,-0.5512036848684206,-0.5511646327536152
ASCL2,24,0,cluster_03,#00ff39,-0.8140859430141997,-0.8141160986886505
AHSG,25,0,cluster_03,#00ff39,-0.37913510622195223,-0.3791545547931291
DNTT,26,0,cluster_03,#00ff39,-0.7311195517218898,-0.7310772167509229
C16orf70,27,0,cluster_03,#00ff39,-0.7935718853607936,-0.7935779593577489
HCG9,28,0,cluster_03,#00ff39,-0.4132689496872212,-0.4132541897187514
ADRB1,29,0,cluster_03,#00ff39,-0.6215603380481768,-0.6215576273770849
NTSR2,30,0,cluster_03,#00ff39,-1.014833844109756,-1.0148319575937497
MKRN3,31,0,cluster_03,#00ff39,-0.45501979085870164,-0.4550181994571553
FAM90A1,32,0,cluster_02,#84ff00,-0.8288759125048304,-0.828887821776603
OR1F2P,33,0,cluster_02,#84ff00,-0.6429299353247082,-0.6429336070331126
HYAL4,34,0,cluster_03,#00ff39,-0.7962206367600977,-0.7962429478100906
BCHE,35,0,cluster_03,#00ff39,-0.8208041671674828,-0.8208259640188129
MORC1,36,0,cluster_03,#00ff39,-0.7941963646353789,-0.7941894439296993
ADRA1A,37,0,cluster_03,#00ff39,-0.7983715417742793,-0.798338942086103
RGSL1,38,0,cluster_03,#00ff39,-0.7164350959572464,-0.7164575547211146
IFNA2,39,0,cluster_03,#00ff39,-0.8591690002103073,-0.8592577855016059
HKDC1,40,0,cluster_03,#00ff39,-0.9588927163044675,-0.9588837401823308
NF1,41,0,cluster_03,#00ff39,-0.9297648929962491,-0.9297313543079272
RP11-15P13.1,42,0,cluster_03,#00ff39,-0.989610217588621,-0.9896192817188241
DCHS2,43,0,cluster_03,#00ff39,-1.0468282901774066,-1.0468488176457322
HTR1D,44,0,cluster_03,#00ff39,-1.0460146090473863,-1.0460068692998428
