,CR,PR,MR,PD
ITCH,-0.5375115830112543,-0.46736793401777493,-0.4711626220735084,0.20682766622636176
LOC100127886,-0.4200223211253209,-0.4531386813905169,-0.508421119999953,0.1371951881467718
PLEKHA2,-0.24371987174743473,-0.2761512980176808,-0.2927316968616961,0.045043864228606595
GRIA2,-0.33357141070023083,-0.36548771325261364,-0.3648118671165659,-0.17223077156026817
USP25,-0.37222957834639825,-0.47760526777572265,-0.5012721371476394,0.11540603810514294
PPM1D,-0.17567470165757237,-0.10168279724789611,-0.12841462587194738,0.14458008471376158
CASP2,-0.12115676386256043,-0.004674515865626021,-0.26000722015061445,-0.28139924969014357
SLC16A2,-0.12165064917021114,-0.1047007129500093,-0.1900008164378025,-0.24209527507747478
HIPK3,-0.2855118113478042,-0.30153447470547773,-0.23669061964220223,0.0662882077526366
ARSB,-0.4853333007305105,-0.4255643420217638,-0.4813177473150161,0.2981535433990212
MT1E,-0.07313653822441606,-0.2538789433284725,-0.17587888944256702,-0.19202574141032883
MT1X,-0.08846719167371535,-0.12256214851708373,-0.17771550990581092,-0.5606960464041912
MT2A,-0.1983694157179596,-0.3536100623879266,-0.24352772492305444,-0.05829019782691129
MT1G,-0.15587207714252763,-0.31794650863520835,-0.47747149868837485,-0.019946796512978135
MT1HL1,-0.4466795429644681,-0.06671247580147653,-0.051510410873235234,-0.2550878026721841
MT1H,-0.20757021363078523,-0.3279778366110586,-0.34118859007874214,-0.16240498911313012
MT1F,-0.276634036909538,-0.15394480078366252,-0.38822962284503826,-0.06426555690403124
KLRC3,-0.4631915864962366,-0.20872044612293045,-0.4400766462729918,-0.049895226655484765
AXL,-0.3095552741923133,-0.1313338723280606,-0.2650721544120926,-0.13754933625606944
HNMT,-0.4312674926614734,-0.11209982839435752,-0.20760174372034496,-0.19406469403772347
VSIG4,-0.21923377510532846,-0.16634799992750587,-0.301244493282802,0.04763717982794084
PVRIG,-0.4195613627023153,0.25270605926467393,-0.23243128723186107,-0.2359859632925719
ABCG1,-0.03335043274251892,0.6296024815171846,-0.22903320787091155,-0.19856416769199406
FLT1,-0.20909077206221693,0.10227572710709136,-0.04845200596794982,-0.11100687217032848
CCL8,-0.2989887807427755,0.03786853676463588,-0.2915170015315042,0.038570909870321586
GHR,-0.35668136772934117,0.07052896624575235,-0.24123502684033,-0.2696370907470917
CCL2,-0.4631965738371105,0.041787706804710126,-0.13704308712015004,-0.29490910938759174
WWTR1,-0.3474252085840546,0.16781201040940752,-0.33202674284411526,-0.08199842895086597
PALMD,-0.3372746887543226,0.2153112163998866,0.2623385907938343,-0.23187411056516985
FMO3,-0.34258852205778806,0.29483251519368453,-0.2714355695868231,-0.183637780593377
ADIRF,-0.2059218971794068,-0.312357615008865,-0.16111241887538413,-0.164757304482854
ABCA8,-0.294151576289361,0.4117712162790994,0.12561495019458485,-0.02149698602538552
SELE,-0.2837256749110965,0.528065422878645,0.2604004509424393,-0.36738117813878407
CYP1B1,0.19691075561010218,0.18217924442687247,0.6505647293029926,-0.343258415529926
C8orf4,0.20521765802746494,0.432743970278897,0.20831754649434445,-0.08704578457607101
C7,0.31878084844726423,0.2682558584377803,0.6329871879316187,-0.14194362111360795
PDGFRB,-0.27332205195377557,0.6270337070987703,0.4980278657970356,-0.21651173417697622
FCN3,-0.4233322281849023,0.29894029011239015,1.0638713666904411,-0.18034392541205257
PRSS23,-0.2904737890671502,-0.07852000187003812,0.8961773462066538,-0.13279053195657242
ALDH1A3,-0.06559861700958992,-0.07072867031080829,1.2145386919788452,-0.25368145081195687
COL4A2,-0.3110370405251957,0.026104373666958284,0.7380193935869147,-0.306266694467928
COL4A1,-0.44376675218209627,-0.04893296302051457,0.41229430259674527,-0.1048381563497368
VWF,-0.14952097552301089,0.5880564758777882,2.953811036475012,-0.4467780514063597
FN1,0.0010983939487268963,0.17702977234472983,1.4274028839930388,-0.3267071520712533
CDH5,-0.39292929754429157,0.4641913825031597,1.7969372558100336,-0.481356632976641
PODXL,-0.513365717202621,0.13259879170024055,0.8879207390665864,-0.2501569691549642
APOLD1,-0.3138718866647315,1.588664599621691,3.7695543706224726,-0.48010501851554377
COL6A3,-0.123963503896847,0.3642701230607506,2.1928142505403105,-0.312474302753609
CRIP2,-0.24231322077797743,-0.21467701564835007,0.17609192315363367,-0.16467308518748228
RFTN1,-0.22414170539086234,0.5750596748240536,1.2488216118431348,-0.3283991902421792
A2M,-0.46315651891191584,0.5070226273985019,1.4898351103748113,-0.4044680503579831
COL6A2,-0.39177423663994126,0.5560242805031903,1.2002813469469302,-0.2779826729205502
GIMAP6,-0.34250288980382093,0.7033041249716134,1.2732198050771935,-0.3036293846955677
IQCG,-0.45590450177103986,-0.28062752795304463,0.9013347541359502,-0.15968428376977756
HLA-DRA,-0.31756884135315866,0.2851998811381097,1.3322502969204153,-0.35368797415931463
HLA-DPB1,-0.2714662400042948,0.4001257121750805,1.0931028219510899,-0.3126339244762337
GAGE3,-0.17454638442807024,-0.13637585332517452,-0.25776527906684066,-0.2544595260374829
MAGEA12,-0.3000714366101649,-0.23754363561018954,-0.33159767913398697,-0.07273644539683216
CTAG2,-0.5571794313348438,-0.5004918737374755,-0.5311059295521602,0.00924719397387644
MAGEA1,-0.4186380360553023,-0.36659706134422876,-0.3963130608565271,-0.11128411908806896
MAGEA6,-0.2518769649644659,-0.13435458856453883,-0.3229381379458387,-0.044238911317047595
FGF13,-0.10907943337979455,-0.2037696871814782,-0.275767729158684,-0.2688007502578604
GCDH,-0.18075777064244555,-0.23572479853075065,-0.28223728263687836,-0.14068791682624818
DOLPP1,-0.3143824674181199,-0.2240435434051048,-0.26871396028037847,-0.27519966078467134
UTY,-0.3760660409978065,-0.32104973992690294,-0.36108134076892334,-0.24868833942344432
TTTY15,-0.2355072164895631,-0.1025394511619471,-0.23826517036567735,-0.18670668932237053
USP9Y,0.010967644521405287,0.12498529616185182,-0.25722549959897784,-0.3696321106208027
EIF1AY,-0.23015976988508982,-0.417465638665811,-0.30991671868849585,-0.18931476165186714
DDX3Y,-0.06929430018944056,-0.31502487611447333,-0.19531070795870792,-0.2985495920149828
TXLNGY,-0.3507269197272713,-0.20730956033444511,-0.30751586456890134,-0.2532244772135933
KDM5D,-0.16568793551177075,-0.04563743678837422,-0.28555874033856693,-0.21114873453130498
RPS4Y1,-0.3329543997210929,-0.2557754998956023,-0.28508639188521573,-0.23000964995658443
RAPGEF4,-0.21576667968812982,-0.2565717942957646,-0.2047132443418465,-0.1774788240434584
PA2G4,-0.2140181423772979,-0.1919420806148647,-0.2848401266270231,-0.3355316830860032
GIPC1,-0.13216819606294036,-0.2185805472193131,-0.26094278803758364,-0.27379332580041593
CYP27B1,-0.28776811778734235,-0.33966589142306736,-0.33432910333387905,-0.32703440937660294
FASN,-0.23527250712996298,-0.21031071048829994,-0.3287706017272596,-0.30159251552259225
NOP2,-0.2813646603643958,-0.34529126378405545,-0.2759760121526667,-0.15855982594510254
SIDT2,-0.3389753200269449,-0.13582559559101276,-0.2631291149997303,-0.23584096026237172
SLC25A10,-0.27002441483552303,-0.22271274554425385,-0.28333078544844736,-0.24968973952196077
GTPBP8,-0.3189949915714218,-0.28271252653995094,-0.3061463672554028,-0.2783448395650361
GALT,-0.28330461553953806,-0.2010423775359576,-0.3987181173561267,-0.2780829674590662
CCDC101,-0.30433774287321474,-0.3153799822308951,-0.29434982838369195,-0.19488703521029246
SGTA,-0.34923509823072224,-0.41055613499237736,-0.3773875653062447,-0.2777848574078255
GBP2,-0.29903438240427954,-0.28198366791105856,-0.28354927844592814,-0.2792128821670443
PARP12,-0.3167418351504026,-0.2502297804349889,-0.27780580165976726,-0.33351971115394063
RSAD2,-0.304133392414734,-0.1963845696481794,-0.31959583523477686,-0.23908223842540466
GBP1,-0.1328457169478285,-0.3444404360332148,-0.3140906842410835,0.05871499740610944
IFIT3,-0.19464444610956524,-0.10948777071324582,-0.2391384235422595,-0.19120113598018246
IFI27,0.06650865240693149,0.006126769992323116,0.07008959163038475,-0.6266423503434299
DDX60,-0.3312174409021547,-0.08323675998389889,-0.13693053315897905,-0.28897869294657363
OAS3,-0.34489081956660467,-0.3472995408392719,-0.2356194616500378,-0.16305364522803287
IFI44,-0.4130893807188129,-0.24220423678146882,-0.33674435094858546,-0.06553802911271565
HERC5,-0.19242555544531245,-0.23852407979902643,-0.39072301740575033,-0.17681912645052036
ISG15,-0.7297900722988172,-0.746637886265839,-0.8794693351522341,0.9279467801473359
PLSCR1,0.4101197065625006,0.1169780309857797,0.672725510810156,-0.3834294591176409
HLA-E,0.15533403179340832,0.47010376857102226,0.6146942001708326,-0.29386841347294923
