,CR,PR,MR,PD
ITCH,-0.3330471646853068,-0.3359432183569525,-0.32671936497148096,-0.37895597712266055
LOC100127886,-0.3212011663078831,-0.24666593264947245,-0.25725009313070285,-0.27389378137251325
PLEKHA2,-0.15910450712140722,-0.3027474579789483,-0.38812444709378446,-0.18588704315409224
GRIA2,-0.3956484112794929,-0.33368037499938547,-0.3618673812140214,-0.4498258965066922
USP25,-0.4025283217281202,-0.2236924986199491,-0.33626579721479544,-0.28810606802602584
PPM1D,-0.16089462334335097,0.0458080388377568,-0.126571009488876,-0.2639163338702884
CASP2,-0.2610160014566627,-0.008906349357045377,-0.11582703485682266,-0.3190972369741684
SLC16A2,-0.14353245810422774,-0.16729645371231497,-0.203418766706286,-0.3417636142566763
HIPK3,-0.21068735670323016,-0.3473564051700799,-0.5199281632081374,-0.16978272967560384
ARSB,-0.2422285549337039,-0.2443567534847893,-0.33543906352298636,-0.001948191098137698
MT1E,-0.04262661549241437,-0.05823789939023313,-0.13738312044616785,-0.44370642367883534
MT1X,-0.2563293854856719,-0.21851577431084393,-0.42996469984894403,-0.2203419961662154
MT2A,-0.32055714919434347,-0.12631693596646637,-0.09021381674733304,-0.40453190153688195
MT1G,-0.5250392857297443,-0.4690421893144213,-0.4077537104791825,-0.26332441240876997
MT1HL1,-0.283190358150043,-0.15626023843504558,-0.2857431648286243,-0.259449684400986
MT1H,-0.21152897456172712,-0.2646910886668369,-0.21582023600644762,-0.4605818012450926
MT1F,0.7191926397165966,-0.09565801317292678,-0.03877173527988206,-0.33338879547665534
KLRC3,0.7949177397657391,0.07796393066838117,-0.36596185743903653,-0.29393790643381656
AXL,-0.35361525163860635,-0.26021557341703494,-0.42711576189108125,-0.3160971332711957
HNMT,0.3840116764732873,-0.11357553313453057,-0.32909844607851335,-0.3801233607438414
VSIG4,0.1260583378961016,-0.14871255441030287,0.01693949658030236,-0.2663070952500294
PVRIG,-0.21976076654669574,-0.18136581487401135,-0.12310816097329279,-0.31683176266687196
ABCG1,-0.1291085959099534,0.14350275080120833,-0.04747501086293604,-0.3554722246970278
FLT1,-0.6636188787435132,-0.44989517262899215,-0.5230332385783472,-0.16354447740759329
CCL8,-0.316971773824185,-0.01700460473117696,-0.2723252343062408,-0.37802011354785225
GHR,-0.3500233478601891,-0.052651395006750736,-0.35295523171073884,-0.20753910921899996
CCL2,-0.376787332941427,-0.2417553199187789,-0.32175511130852713,-0.4138577565977488
WWTR1,-0.14245970538515942,-0.20109418840205953,-0.42147750984194393,-0.2117969018901687
PALMD,-0.8761422061066867,-0.29177513918462317,-0.20906914770553706,-0.2758531675213586
FMO3,-0.4222820718556899,-0.32723426628202995,-0.32824390624556987,-0.2862138587544786
ADIRF,-0.5419577227346654,-0.1848196609033564,-0.29733234129507613,-0.4428968239974338
ABCA8,-0.17581030731360733,-0.19613716351493563,-0.1299765963145999,-0.2097809659895378
SELE,-0.49791263195166663,-0.21282495133745508,-0.21192298837577456,-0.3736508298391472
CYP1B1,-0.44173426375908026,-0.11000438011395848,0.21207798942831568,-0.43896422636667515
C8orf4,-0.28845241777761405,0.10567823582974346,0.1191042108914825,-0.28004436559028606
C7,-0.40314861712222605,-0.19066256270485019,0.029696870592753215,-0.3270702474589697
PDGFRB,-0.40005341133461725,-0.08203967377143893,0.0050387650817085294,-0.36470334349880945
FCN3,-0.4666246526343329,-0.08324407157707345,-0.33643090366565215,-0.25830035102466337
PRSS23,-0.27673600999639064,0.15792613773405498,0.26686898527109854,-0.3799020313323961
ALDH1A3,-0.3800881338474527,-0.09924652487279101,-0.21112854920510038,-0.4443345234118325
COL4A2,-0.33311926979394313,0.13345321591040388,0.2016120957101753,-0.3315276057623825
COL4A1,0.06552364096853033,0.7171310884431624,1.111462962661138,-0.33343344474746306
VWF,0.11458073898270833,0.5049652957440084,1.3729657420797545,-0.3891068825072109
FN1,-0.3569908153730798,0.2571168171747298,1.1059659874856647,-0.35843376761427437
CDH5,-0.03688578222185012,0.8238618040552714,1.0182623397076318,-0.44058678876154306
PODXL,-0.2241438248046004,0.4245171909476309,0.9788773047795978,-0.2905915608590327
APOLD1,-0.10485101625153177,0.4687294373165243,0.654536963264952,-0.28415541977613495
COL6A3,0.16664587405866715,0.4717970641310531,1.0792435641383757,-0.35648102496773815
CRIP2,0.12070024498620557,-0.09702061206653718,0.1097707139100154,-0.3527845384824729
RFTN1,-0.02916309003724359,0.21027665987030145,0.6341244702452032,-0.3998372969638834
A2M,-0.25695700215765066,-0.1279116123107216,0.38457954818745804,-0.3151349839034912
COL6A2,-0.29588544477930895,0.23961607699934653,-0.19911195857665276,-0.08008312953726743
GIMAP6,0.839218907312914,0.7887569031603093,0.9544578242640834,-0.45049966052193874
IQCG,0.0008963796576193459,-0.0346223620020946,0.2922644560963946,-0.314170551234024
HLA-DRA,-0.5797657639814084,-0.13198455225602274,0.11030932085786244,-0.26643637697960815
HLA-DPB1,0.04139202475189216,0.08376608270919961,0.259494314516786,-0.26284856758064773
GAGE3,-0.2925254812596636,-0.19469062882509405,-0.22018103542129153,-0.2333959142533602
MAGEA12,-0.26862551075389646,-0.27021742281569483,-0.14052006786440885,-0.10722863431811248
CTAG2,-0.22511461934157376,-0.4951383828043071,-0.4668687681882775,0.05508218502255368
MAGEA1,-0.4994314076815265,-0.3086959666414622,-0.11533972646220299,-0.06994130876007158
MAGEA6,0.18381125895882122,0.0918042424227119,0.23721058537096068,-0.18874186986789285
FGF13,0.2982668648338114,0.14640631459191053,-0.0427256097869347,-0.08063558918851646
GCDH,-0.21109923252032517,-0.2159769135705168,-0.2081041977703925,-0.09480837435400975
DOLPP1,0.3223182589561348,-0.24631133284450268,-0.3552631114481176,-0.13195286034398115
UTY,-0.5301790412253142,-0.07389046681484318,-0.06308454500493352,-0.13021727677764758
TTTY15,-0.26882768122455025,-0.14553813601206889,0.18101586701583405,-0.1644775579399699
USP9Y,-0.20446691028974195,-0.2537674820564762,-0.149457450442572,-0.14369282619746027
EIF1AY,-0.5262721780046987,-0.16773618862876555,-0.11678520954667443,0.21445545344879988
DDX3Y,0.06663386762507793,0.0695012044109028,-0.22131248857820346,-0.09235024648707264
TXLNGY,0.37576694551851303,0.06405532052232787,-0.13846800704479417,-0.4111726633345932
KDM5D,0.228350840696367,0.07153222165338258,0.242389062882503,-0.30794910299633843
RPS4Y1,0.23861058578766914,0.20019203481886608,0.14798544761305416,-0.3467925499463351
RAPGEF4,0.008193228675146269,0.0013120957487477096,0.2120256155916308,-0.14811448686790094
PA2G4,-0.320685975566142,-0.12655269373504363,-0.11040128350406239,-0.3934707953774955
GIPC1,-0.4704953109397498,-0.27917632147374666,-0.2752511872218832,-0.15990463378219008
CYP27B1,-0.3672257815241866,-0.31737671861634453,-0.3070465331338758,-0.3951785433494663
FASN,-0.0734310444838339,-0.2415279284919587,-0.23721586679151965,-0.2613452345083598
NOP2,0.5839568111424177,0.05544944218794526,-0.009836921764558774,0.3558105183532201
SIDT2,-0.6796486668474131,-0.3478575763399683,-0.49039546818748014,-0.18735359824027709
SLC25A10,0.2799916967904097,0.1559392802659738,0.01757795226764191,-0.37980807131551475
GTPBP8,-0.22508218008628722,-0.37407120637272023,-0.2879670965045278,-0.3062005349836409
GALT,-0.02220146251267467,-0.08087821815337579,-0.3118357910506424,-0.237354060019851
CCDC101,0.18999840815218413,-0.13586120776411884,-0.23646060249501163,-0.5050819648110781
SGTA,-0.08881478490330941,-0.045952575540056655,-0.1494776300488691,-0.32059939433784546
GBP2,-0.4310918250133146,-0.33133255273846796,-0.35405000873913295,-0.38232507435705165
PARP12,-0.4068680875517623,-0.28956798585722027,-0.407345825912128,-0.310530789998673
RSAD2,-0.3950088812994861,-0.31445293901106425,-0.5374807079516075,-0.2821259258534366
GBP1,0.37184921242663044,0.051269068783629884,-0.046374733676048704,-0.4842275228863339
IFIT3,0.07228077417187669,0.05852569428351394,0.020397376686472016,-0.597958625515468
IFI27,0.3771325738963694,-0.09069317436619992,-0.2291544030997329,-0.37790307287601804
DDX60,0.18073203965866372,-0.05668222611326573,-0.06489087190073711,-0.4081449661822164
OAS3,-0.1010287187944971,-0.18118278643146035,-0.16696731213988578,-0.4048231702196926
IFI44,-0.2645767066034793,-0.33160384277589994,-0.3915525219609453,-0.27026588906415233
HERC5,0.11724539812910761,-0.11176473692696134,-0.35403465821977087,-0.3781681716795005
ISG15,0.010565707867116894,-0.36975280717237763,-0.41388185825548274,0.029756073931677885
PLSCR1,0.016126870505307683,-0.2567098176682066,-0.2584947733252755,0.31283708667733845
HLA-E,-0.3019183686282429,-0.16151698184242283,-0.22730981279332518,0.3127608235946387
HCP5,-0.9562808529797765,-0.7897865220628701,-0.9893792940307363,1.022835969029722
HLA-C,-0.45848863139578083,-0.4831933554436384,-0.28001036397366513,0.24963261801848102
HLA-A,-0.5800550824980448,-0.8248934360528453,-0.9411050746139649,1.2872731469088745
HCG26,-0.5702095610301247,-0.1861427768283428,-0.2928070979872477,0.406322034272951
HLA-B,-0.594029076641649,-0.9890566383239411,-1.1641893333554267,1.8239144688959728
NACAP1,-0.6051892948838276,-0.7433270790266487,-1.2220710316427754,0.4159953761849579
RPL37A,-0.7899208015488027,-1.1914212594316655,-1.736552932794716,1.662897830891022
RPL27A,-1.125348918307838,-0.4975351917012896,-0.7116539663392545,0.8950964372009264
RPS11,0.5142614463899368,0.786333560618969,0.9005967035966473,-0.3504550059340687
HIST3H3,-0.0603170568124062,0.46042201590924775,0.27628574793386956,-0.059099639588957385
RPLP1,0.37261590709274656,0.22564329367313993,0.25657100271758704,0.8822364221554434
HUWE1,-0.3414058930379091,0.0835751983364373,-0.2789287476890009,0.6998098325803268
EEF1A1,-0.49087717861583635,-0.32764469245409794,-0.37584349704432296,0.18290578363131604
RPL41,-0.7036128545547967,-0.9176039175365708,-1.386857124129769,0.8203577350662535
FGF22,-0.5509288211453075,-0.4866589410046214,-0.8165907830117406,0.5411040527779882
IKZF3,-0.4245706927284682,-0.4472065405038134,-0.46870815125573184,-0.24966384478117457
FOLR1,-0.36123606841203815,-0.3781455174609146,-0.44517914180317647,-0.3601029118431632
CENPJ,-0.41398476451622274,-0.44718219524426445,-0.6455704134287864,-0.13445076731487696
NRXN1,-0.361682319020721,-0.16132760772054525,-0.327975733031291,-0.3731127964774995
AKT2,-0.36404139171855876,-0.3989905006826805,-0.4885778565615921,-0.12042212910355471
MAGEA10,-0.32118653710521755,-0.3668687476731736,-0.29661881833059445,-0.4417518965656886
CUBN,-0.20970163165990632,-0.2414289956718938,-0.3188228472954781,-0.32431601795339265
CPA3,-0.5511898084380329,-0.49810071022870883,-0.3763544375094403,-0.11531715776551611
TPTE,-0.09045089229884577,0.05325783687775675,-0.06736551644857476,-0.45099595414821353
ZFPM2,0.38450244520888277,-0.45233939976704013,-0.7016385925476666,0.1918956803277877
AFF4,-0.1465521182766467,-0.1303255227013766,-0.445746949938609,-0.34251405482782266
KCNC3,0.1435703617929263,-0.048215663345048405,-0.38439670962732764,-0.32911369657581546
KCNJ16,-0.29381760229345627,-0.19823969820997087,0.050998532144333406,-0.37612310841344815
ATXN8OS,0.3676627573545028,-0.15125201175883768,-0.5319744095050325,-0.2020349043430265
CXCL11,0.2041228112634449,-0.2361254090309586,-0.43999733696470533,-0.19980121784968993
GPR17,-0.04603326651599898,-0.18015859241501817,-0.38781663330032873,-0.26231329321977354
CBL,-0.43801277027779695,-0.24365923695615355,-0.2584752835710469,-0.25020031395065795
AKAP5,0.45913112992088845,-0.052721493526000286,-0.14616489317727027,-0.20336047387742867
AGT,-0.7990649034427428,-0.29231759545563857,-0.6772767079982924,-0.048167192280249634
CD2,0.07363714219609958,-0.10763068068208721,-0.4191948467442359,-0.13015519498618758
LTBP2,0.19720318960119024,0.054834535063497856,-0.2462246017459561,0.13104649761260978
CX3CL1,-0.45653336113368254,-0.13547873137434063,-0.384311097664559,-0.17102177067583124
PAQR3,-0.2846205256296091,-0.2652444645358558,-0.22244358473326573,0.03014173341537443
AMOTL2,-0.32492715856050475,-0.20966877981026433,-0.42315724295743207,-0.1702669614750725
COL5A1,-0.45368223116014955,-0.23310520878397528,-0.37224855112854766,-0.32812264032042965
KLRD1,-0.40801922454664385,-0.13889495696011497,-0.05221521329257248,-0.23501207739447752
FBLN5,-0.19955874268904428,-0.186767402764696,-0.3491446588239131,-0.3291110564261643
MRC1,-0.37662305101037447,0.0703175918066068,-0.3947431532738937,-0.1967685870064901
APLNR,-0.31877514525357536,-0.24683833173334913,-0.2662732920419855,-0.31239835226381063
ACTA2,-0.5871150198287203,-0.1287732134545094,-0.05551127180774876,-0.40537091921518864
TNFAIP1,-0.4466262511374264,-0.04073744704465932,0.1341662915851679,-0.255733068280675
TM4SF1,-0.5945533208467322,-0.14374811211183056,-0.055878151264928934,-0.3381848902520312
GJA1,0.01165932623715954,-0.04783750352442473,0.27617948767814665,-0.10981140373947444
NR2F2,-0.44776129721573227,-0.02858671278441504,0.13989835289356856,-0.4798453881567882
HSPG2,-0.4663154718234754,-0.19772009096001136,-0.24839606966895703,-0.2290127287526308
KDR,-0.23041013928584497,-0.09148530229289316,-0.1416536149383086,-0.26076116591638177
PDE2A,-0.35821987415266304,-0.02143390810060833,-0.07859222484300701,-0.34830528890174295
DNASE1L3,-0.507543139208985,-0.08959605212220642,0.09562438910314933,-0.2394831290565988
EPAS1,-0.14953074425278387,0.4671618305216789,0.2988072576973777,-0.32787991954726814
EMP1,-0.002175707786388458,0.7943154823995431,0.8850177603751441,-0.364787704954716
IGFBP4,-0.35023013417408827,0.8824308844210286,1.0329015826632075,-0.42145610001775363
ELTD1,0.03695788968739677,0.8451334581220707,1.1555714038386862,-0.3776762229996098
RGS5,-0.3276875870866522,0.22770470749298963,0.15258309206908677,-0.3092774048156353
SERPING1,-0.02551305694111335,-0.01043480504653859,0.4627123640482955,-0.11982549707935906
C1QA,1.0637459586260378,0.8620311695800447,1.0012104164227023,-0.03468037008908273
IGFBP7,0.010023079639471069,0.3131300768004593,0.8833416415315152,-0.33595352402304063
HEG1,-0.4359475977604245,-0.20122685974851184,-0.37132289497514775,-0.1602389364825612
POSTN,0.17311160629778155,0.640037969372578,1.2914511089386145,-0.14193874176023283
CCL19,-0.2745485341682216,0.41309098528692134,0.2208887040291995,-0.3335983846954026
NKG7,-0.18221064659228534,0.4400464427075961,0.4838103214975742,-0.4977055368327266
SPARC,0.014236452722676313,0.39560028293039007,1.3445713737231404,-0.36648447652554883
TNFRSF1A,0.43701748253802597,1.1044412587106656,1.658009485928541,0.20895070017159484
MS4A6A,0.5439781096818375,1.0353761108564563,1.48116152818655,-0.43720853852417024
HLA-DQB1,-0.37405528009447003,-0.4728928094271013,-0.6794957222214535,-0.2320768190943033
HLA-DPA1,0.2803256192677924,0.7294409760966263,0.8208693199566661,-0.41154116530864315
HLA-DMA,-0.04295439321850378,0.06388463550651498,0.6288164159574338,-0.42631110208584816
MYT1L,-0.24180088699106309,-0.32966012643007975,-0.08732629511822664,0.0824536258241777
TENM1,0.4580211019362659,0.06367848678356502,0.018039806179838323,-0.1526909988604091
MAGEB2,0.1742797777016641,0.151182897961299,0.5472796384984534,0.7959853151252847
SSX1,-0.5200732529898726,-0.44657449592538373,-0.4017878607444087,0.22855251050436134
GABRG2,1.2526494887656534,0.45566424028791824,0.23095281264896958,-0.1669954538518864
MAGEC1,0.13183557001096383,0.29730979996259,0.35517184410155367,-0.20999554994903347
ZKSCAN7,-0.6424378716869761,-0.56859613151623,-0.4412815179195535,0.3783233135247745
TRIM14,-0.38606373638015407,0.0850328251946859,-0.2170785161321979,-0.2809697112042967
ATG13,0.9371385770028332,0.5733698639629837,0.4464871859437785,-0.09483310284245018
ZNHIT2,-0.07147413651732293,-0.21544323703253299,-0.41749506897567534,-0.0190609944122555
GGTLC1,-0.1457944692175739,-0.37508461149309336,-0.46143741890721096,-0.010196846095547349
APOL3,-0.048148549394860685,0.10868717135463599,-0.10484867986084209,-0.06566534668339519
APC,0.3941213471779257,-0.10714723810337978,-0.07057399110259317,-0.07047150995655145
KIT,-0.3296511322125013,0.17821143288962774,0.4711898842663713,-0.41448672115405444
AAMDC,0.04770771367260809,-0.05495824677769108,-0.06632222435185588,-0.145744991839731
DUS1L,-0.026647887154544903,0.01810452780386887,-0.10521637322170879,-0.1529990026573114
FKBP15,0.85391553052973,0.12174735934617477,-0.14818046665300677,-0.419139862797914
CSNK1G2,-0.42254187102281787,-0.09000136003435864,-0.18027325795342597,-0.04227970564218228
NAA40,0.08429257425374105,-0.30008475784946115,-0.10758044236425354,0.007916917366878313
GATAD2A,0.3229208115923114,0.1899312230506297,-0.045309284287050576,-0.34821440844253493
POLR1C,0.058091055347322874,0.010830577716917823,-0.17660762166137534,-0.02875766481838056
UBAP2,0.15940229102780296,-0.010391774850644103,0.11080261480703833,-0.33154009354163616
SF3A2,-0.0026107885373129933,-0.03214634544415488,-0.1469575966092774,-0.42636191322394495
DDX39A,0.08056704766374591,0.19955598715740022,0.1568974880774109,-0.2888604705440743
ANKRD17,-0.34221747025052385,-0.42357118183039627,-0.38320697218042293,-0.233659305123084
CHERP,0.0004721419490135344,0.20281298987158908,-0.13863062837933754,-0.3688567684600809
EXOSC2,0.07429442430934319,-0.029234088755022043,-0.10068659292707667,-0.34395652737715826
SART1,0.33383914725204167,0.17903432793292373,-0.1530753381489516,-0.4266983558467969
TMEM222,-0.11704355678241984,-0.2062792487868257,-0.315317967328424,-0.34224097840364764
DDX58,0.044535858322123555,-0.07232287393516845,-0.36601173591564484,-0.02586371280869966
SP100,-0.21379773366860244,-0.2119665341703743,-0.2679649518295363,-0.3046158111058913
RBCK1,-0.28384395241991917,-0.32671864771431924,-0.30357433718386034,-0.0778104118205626
IRF9,0.002894063073410339,-0.2953034419305374,-0.28484638654670336,-0.3370882336014184
SP110,0.011621783203579983,-0.14835842509364375,-0.26896121140239826,-0.42193818709018027
HERC6,0.3856653193304915,-0.22207822294116195,-0.28354065202112244,-0.30971342159807363
USP18,0.07651617829588205,-0.2196726586215675,-0.3649252514638709,-0.16433768623368114
EIF2AK2,0.2469979576660243,-0.027771682869715753,-0.1590488724054564,-0.35801671115563205
IFI44L,-0.5030549895615587,-0.4215257286495442,-0.4509890998308227,-0.0062166282952551425
OAS1,0.10197302929907615,-0.14700025394895158,-0.1974796135782998,-0.2583572786202153
STAT2,-0.11958292968752456,-0.07753476142746143,-0.15170239495846666,-0.30189223703063744
PSMB9,0.8458712111228408,0.28249582861753764,0.5853535057451484,-0.47561062778250246
HLA-G,-0.36294530754212895,-0.4068384085173042,-0.867921862497693,0.5668929576109242
HLA-F,0.04303833082197891,-0.29639302039254706,-0.3024113492859657,0.48049670396310784
HLA-J,-0.7831878211546771,-0.3123375617034278,-0.6685146983573784,1.0139695705494913
C19orf24,-0.44121184091408105,-0.21449643356155196,-0.3275415335902643,0.7226590972392677
TMA7,-0.20498513094134344,0.006049334776077245,0.15285617133128496,0.6715765658363009
RPLP2,-1.338680244201207,-1.1914269736554113,-1.5024347970839358,1.5469172661466957
ATP5E,0.1850120785347044,-0.32373616731587024,-0.6530846821303167,1.0167980696308165
MAML3,-0.8149074419735305,-0.3471297035505509,-0.7345341447000069,1.36260870916624
FGFR4,-0.27368949467259795,0.6743701765760541,0.9353860021654916,0.3414513782443657
RPS24,-0.8477947268828762,-0.5479704510894561,-1.0130898458069648,1.6163011587447782
RPS4X,-0.46204855696864033,-0.4308042438616386,-0.9889699947718559,1.503478913551986
OR10J1,-0.6735128462349876,-0.275981666979094,-0.5039483990310081,1.336306716153021
RPL32,-0.4337149048623579,0.032534449414066004,0.6676073626464318,0.9420040445777459
RPL23AP32,1.525025695723837,2.3086098331024503,1.9004003137706285,0.26374860165638875
