,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
RPL23AP53,0,0,cluster_05,#00fff6,-0.2582366976314631,-0.2582568158833895
PCDHB6,1,0,cluster_01,#ff9400,0.2719881485895731,0.2720032546124073
PCDHB16,2,0,cluster_01,#ff9400,0.19997798307676476,0.19994589408994712
SLC6A1,3,0,cluster_09,#ff00ac,-0.10375537528714214,-0.10374188626336134
DLL4,4,0,cluster_03,#3dff00,1.115674366143799,1.1156834320641815
OR51E1,5,0,cluster_03,#3dff00,1.0960794472519602,1.0960901091801538
CXorf36,6,0,cluster_03,#3dff00,1.9647152761085176,1.9647909691031822
ELTD1,7,0,cluster_03,#3dff00,2.3011609242713327,2.3011200976540445
EXOC3L,8,0,cluster_09,#ff00ac,0.37321177303257136,0.37320928890238836
VWF,9,0,cluster_03,#3dff00,-0.008657766559328593,-0.008600178618670629
MMRN2,10,0,cluster_03,#3dff00,0.4893596389671953,0.48932264393654984
SH2D3C,11,0,cluster_03,#3dff00,0.3658727146451458,0.36589666374458507
SCARF1,12,0,cluster_03,#3dff00,0.0033366002725636105,0.003308806571792447
CYYR1,13,0,cluster_03,#3dff00,0.3508010561004934,0.35082803398107576
F2RL3,14,0,cluster_08,#b900ff,0.04614199118720112,0.04610999649758305
ESAM,15,0,cluster_03,#3dff00,-0.17615697626385327,-0.17615175068097574
SOX18,16,0,cluster_09,#ff00ac,-0.13887749190050963,-0.13891154768767885
HIGD1B,17,0,cluster_09,#ff00ac,0.04486725623730712,0.04489062789681223
IGFBP7,18,0,cluster_09,#ff00ac,-0.1817539986088956,-0.18179020239061133
GJA4,19,0,cluster_03,#3dff00,-0.1202644592862061,-0.12022444663527006
FAM70B,20,0,cluster_03,#3dff00,-0.3566075928133006,-0.35653560928099093
GRAP,21,0,cluster_03,#3dff00,-0.3670539393019649,-0.3670656771746474
ECSCR,22,0,cluster_03,#3dff00,-0.04627479196376326,-0.046329320787773284
KANK3,23,0,cluster_09,#ff00ac,-0.4380658658427849,-0.4381692516024812
USHBP1,24,0,cluster_03,#3dff00,-0.5147142425946155,-0.5147938522103298
PECAM1,25,0,cluster_03,#3dff00,0.13804984942967488,0.13816085900358244
ABCB1,26,0,cluster_08,#b900ff,-0.40688463849876233,-0.4068971574440108
ITIH5,27,0,cluster_03,#3dff00,-0.6156644431134654,-0.6157066045772102
FAM167B,28,0,cluster_09,#ff00ac,-0.5575079716858393,-0.5575453322824642
INMT,29,0,cluster_09,#ff00ac,-0.5929088996050419,-0.59294431353712
DARC,30,0,cluster_03,#3dff00,-0.5025390603563384,-0.5025364777221967
RAMP3,31,0,cluster_03,#3dff00,-0.269436591284854,-0.26952563191091194
SELP,32,0,cluster_03,#3dff00,-0.3686454174425327,-0.36859287313632744
SELE,33,0,cluster_03,#3dff00,-0.5300369231650058,-0.5300978179822209
LHFPL2,34,0,cluster_09,#ff00ac,0.013702704698819698,0.013691880599431688
TM6SF1,35,0,cluster_09,#ff00ac,0.6112567364649683,0.6113135363886651
TDO2,36,0,cluster_09,#ff00ac,-0.4366323198244088,-0.43667634616957773
IGSF21,37,0,cluster_03,#3dff00,0.05148882070026537,0.051493804364211006
CD209,38,0,cluster_09,#ff00ac,-0.7279814559611759,-0.7280155416071141
MSR1,39,0,cluster_03,#3dff00,-0.3877945750998103,-0.38777422311430615
FOLR2,40,0,cluster_09,#ff00ac,-0.5483258061090034,-0.5483511006684347
MPP1,41,0,cluster_09,#ff00ac,0.1281200309479529,0.1281034513948867
C3AR1,42,0,cluster_03,#3dff00,0.4163135881912594,0.416377186348061
EMILIN2,43,0,cluster_09,#ff00ac,-0.366992077450475,-0.3669196307344381
CD163,44,0,cluster_03,#3dff00,-0.047450873143646294,-0.04741263025825429
MS4A4A,45,0,cluster_03,#3dff00,-0.0010848524605795449,-0.0010438525410886956
C1QC,46,0,cluster_03,#3dff00,-0.047380135345511956,-0.0473931911236711
FCGR3A,47,0,cluster_03,#3dff00,-0.09822109813645047,-0.09826071801034553
VSIG4,48,0,cluster_03,#3dff00,0.0013364561554698605,0.0013063789402413025
SIGLEC9,49,0,cluster_03,#3dff00,0.3975250823609562,0.3975478386075595
HMOX1,50,0,cluster_04,#00ff5c,-0.433325794808049,-0.43328122957641146
SIGLEC7,51,0,cluster_03,#3dff00,0.18035146991173895,0.18033332879172345
SIGLEC1,52,0,cluster_03,#3dff00,-0.34742732764248185,-0.3474489131197334
C1QB,53,0,cluster_03,#3dff00,0.13838013441334832,0.1383191943495245
CD300C,54,0,cluster_03,#3dff00,0.29095284460492943,0.2909015615500337
GPR84,55,0,cluster_03,#3dff00,-0.21882511530218848,-0.2188431052883327
TREM2,56,0,cluster_03,#3dff00,0.49835634995242506,0.4983831901728076
CD14,57,0,cluster_03,#3dff00,-0.1823180305837335,-0.18233470440800628
NR1H3,58,0,cluster_02,#d1ff00,0.30396252390024253,0.303926213252483
CD300A,59,0,cluster_03,#3dff00,0.24871815702130398,0.24873947315597708
SLC2A5,60,0,cluster_09,#ff00ac,-0.602023434818983,-0.6020402915441746
SLC7A7,61,0,cluster_03,#3dff00,-0.26357608609910343,-0.2636345994750422
SPP1,62,0,cluster_03,#3dff00,-0.6015152877235901,-0.601532809431011
LOC653786,63,0,cluster_02,#d1ff00,-0.41881906815164727,-0.41880554094741507
RNASE2,64,0,cluster_03,#3dff00,-0.44695685613651137,-0.44695707451519634
PILRA,65,0,cluster_03,#3dff00,0.15897317257996274,0.1589471864007095
FCER1G,66,0,cluster_03,#3dff00,0.07258177889709039,0.07257294697497337
FCGR1A,67,0,cluster_03,#3dff00,-0.12160642597431898,-0.12158002778715868
C2,68,0,cluster_03,#3dff00,-0.43429010293405285,-0.4342801274711961
MARCO,69,0,cluster_03,#3dff00,-0.6129320950318137,-0.6128816617276754
FCGR1B,70,0,cluster_03,#3dff00,-0.09486646143602304,-0.09489744772837005
HK3,71,0,cluster_03,#3dff00,-0.510168647456319,-0.5101772164490046
TMEM150B,72,0,cluster_03,#3dff00,-0.6010099089755373,-0.6009819224814155
HAMP,73,0,cluster_03,#3dff00,-0.4121235052935039,-0.4120918883888627
LILRA5,74,0,cluster_03,#3dff00,-0.5958603332531437,-0.5958466698164594
LILRB3,75,0,cluster_03,#3dff00,-0.45505590227874027,-0.4551509791760685
IFI30,76,0,cluster_03,#3dff00,-0.23229071948480498,-0.23226372112368412
TREM1,77,0,cluster_03,#3dff00,-0.7513619233952168,-0.7513212018871679
FMNL1,78,0,cluster_04,#00ff5c,-0.5289694325401565,-0.528888765400873
CCL3,79,0,cluster_03,#3dff00,-0.5953891815266245,-0.5953580583869091
CCL3L1,80,0,cluster_04,#00ff5c,-0.5692442982182794,-0.5692558320531094
ZNF438,81,0,cluster_02,#d1ff00,-0.4081951257182457,-0.4081688315830994
SIGLEC11,82,0,cluster_02,#d1ff00,-0.8417375247403519,-0.8416772302870392
CCL4L2,83,0,cluster_03,#3dff00,-0.5661766146942702,-0.5662271648602951
EAF2,84,0,cluster_05,#00fff6,-0.7360133365996135,-0.7359824639716162
KCNN3,85,0,cluster_09,#ff00ac,-0.8398597905329896,-0.8398301282781365
P2RX5,86,0,cluster_09,#ff00ac,-0.7804731676864681,-0.780474639894899
DERL3,87,0,cluster_05,#00fff6,-0.7081330576855699,-0.7081971601601805
FLJ40330,88,0,cluster_05,#00fff6,-0.6879935206385659,-0.6879865439963426
MEI1,89,0,cluster_05,#00fff6,-0.7460506632962696,-0.7460093261357547
PIM2,90,0,cluster_05,#00fff6,-0.8140736571954765,-0.8140773146885765
MGC29506,91,0,cluster_05,#00fff6,-0.7926327630119755,-0.7925857385446416
LOC96610,92,0,cluster_05,#00fff6,-0.8474784227311464,-0.8474609493978897
POU2AF1,93,0,cluster_05,#00fff6,-0.8128177922185743,-0.8127238852092722
IGJ,94,0,cluster_05,#00fff6,-0.8306828561599447,-0.8306886978279971
SAMD3,95,0,cluster_04,#00ff5c,-0.8371339616621081,-0.8371355585310162
JAKMIP1,96,0,cluster_04,#00ff5c,-0.8743468385040079,-0.8743312125562716
UBASH3A,97,0,cluster_04,#00ff5c,-0.8570156345944082,-0.8569879524715533
CTLA4,98,0,cluster_04,#00ff5c,-0.8011814608963705,-0.8012118081053385
CD3E,99,0,cluster_04,#00ff5c,-0.8350043752025146,-0.8350992652557501
CD8A,100,0,cluster_04,#00ff5c,-0.8459068748038424,-0.845956877394183
PYHIN1,101,0,cluster_04,#00ff5c,-0.8457525887459321,-0.8457305489292121
SIRPG,102,0,cluster_04,#00ff5c,-0.8360006167808715,-0.8359720679162645
GZMK,103,0,cluster_04,#00ff5c,-0.8225584494048919,-0.8225271283931088
SIT1,104,0,cluster_04,#00ff5c,-0.7492114613780081,-0.7492377512650041
CRTAM,105,0,cluster_04,#00ff5c,-0.8023039360027936,-0.8022467577647976
RGL4,106,0,cluster_04,#00ff5c,-0.81257648836725,-0.8125945813438518
SLA2,107,0,cluster_04,#00ff5c,-0.765439341316389,-0.7655253686004521
KLRD1,108,0,cluster_04,#00ff5c,-0.7856568198773358,-0.7856627528798229
SH2D1B,109,0,cluster_04,#00ff5c,-0.8459898232132802,-0.8459732367571581
FASLG,110,0,cluster_04,#00ff5c,-0.7500789115466153,-0.750154765099097
CXCR6,111,0,cluster_04,#00ff5c,-0.5328963097166423,-0.5328867121629771
CD244,112,0,cluster_04,#00ff5c,-0.7089395366977909,-0.708942440660584
GZMH,113,0,cluster_04,#00ff5c,-0.7244880470105328,-0.724444717982926
GZMA,114,0,cluster_04,#00ff5c,-0.4216558736233847,-0.421696520442993
GZMB,115,0,cluster_04,#00ff5c,-0.7041461983067999,-0.7041811378458794
CXCL10,116,0,cluster_04,#00ff5c,-0.580550507771617,-0.5805725179473006
LAP3,117,0,cluster_04,#00ff5c,-0.4894269426719316,-0.48940371039614333
EPSTI1,118,0,cluster_04,#00ff5c,-0.5550423846899563,-0.5551180246518926
IFIT2,119,0,cluster_04,#00ff5c,-0.5854090653559146,-0.5853808423406509
USP18,120,0,cluster_04,#00ff5c,-0.6144561280354471,-0.6144962703746703
MX2,121,0,cluster_04,#00ff5c,-0.6146366295421729,-0.6146469983520236
RSAD2,122,0,cluster_04,#00ff5c,-0.6957837876971135,-0.6957571649491855
ERICH1,0,1,cluster_05,#00fff6,0.049735792266048184,0.04974385376493349
CHMP7,1,1,cluster_08,#b900ff,-0.11675739111919488,-0.11676768107490135
PCDHB5,2,1,cluster_01,#ff9400,-0.02293289047787048,-0.022885328471724257
PCDHGA7,3,1,cluster_01,#ff9400,-0.12676372143270953,-0.12675470587010726
APLNR,4,1,cluster_09,#ff00ac,1.7947205674063358,1.7946575391840862
VEGFC,5,1,cluster_09,#ff00ac,0.18230453484211237,0.1823464259989311
GPR4,6,1,cluster_03,#3dff00,2.474422119158802,2.4744701765035493
PLVAP,7,1,cluster_03,#3dff00,3.3223607097363206,3.322283746001314
